Gender,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,target
F,Single,D,-133.98831388293607,-70.22128187872666,14.778897537336144,33.32504585146431,0
F,Single,B,14.408262528512253,94.31931655901633,37.223910244995245,-134.608888460695,0
Other,Married,C,97.73845513861993,28.347967380386123,-35.54490056279562,97.24461603008454,0
Male,Widowed,E,-16.496727220683475,42.94636633063742,-98.6056827944984,78.7258218069914,1
F,Single,A,64.21860363293358,17.617407353622244,69.30693199658589,-9.17801136199299,1
M,Divorced,B,56.21354733896813,-61.821474486391196,8.51863113695791,-84.98694948637711,0
M,Widowed,E,-200.07944943152629,73.0518623151173,8.722919440748518,47.150253991484654,1
Male,Single,D,-49.27334823166195,-19.173986845379595,68.86286475824205,-84.33141004655302,1
Other,Divorced,D,-87.39160223494493,-44.28383059329068,-196.47490723203052,29.95757040179143,1
Other,Single,C,5.6665514309219,130.60018219526071,7.7622302613496466,-137.51364923711688,1
Non-binary,Single,A,-118.60321066870254,-79.87236113223025,73.87898543441776,50.61404184703625,0
Non-binary,Single,A,75.48862727623354,11.631818927629082,-71.52417120201906,-57.970415405135455,0
Non-binary,Married,C,-141.02628078476062,37.16832574844886,-83.25025888276717,76.2365738820001,0
M,Widowed,A,188.96844351902732,-52.56236339664627,58.29916770585092,-125.6972794933378,0
Non-binary,Married,C,68.02989034839607,96.86956961775542,-82.73899706306398,-6.798472115770142,0
Female,Married,E,-42.226547964128194,118.28775613446538,-30.90953215405398,39.14150724709132,1
Other,Widowed,C,11.719538948594858,147.8128612650605,19.032081255165302,-134.53900702416243,1
F,Married,C,-16.517196541283095,60.91481501921147,22.43424253424033,133.54533089334768,1
F,Married,A,71.79746681859018,45.45217323332783,-20.373512396171073,-51.18883799100048,0
Female,Divorced,D,146.37572462476965,35.080198357304965,39.762979842221796,-106.08005634099071,1
Other,Married,A,-135.5618439616761,63.13280876370514,156.222425376781,-106.83711791428017,1
Female,Widowed,B,105.70704443189956,-146.00064158940853,16.50166005876428,-102.37584962704138,0
M,Single,A,88.84576885800912,187.93141891979812,109.06644428181431,-167.4698037208519,1
Male,Single,E,8.200782419483437,54.336520632478155,144.8670603157718,85.87664534100304,0
Other,Married,D,-80.75580543812306,163.90509810719033,-53.49762122278181,107.84580362462076,1
M,Divorced,B,-64.00509329479011,18.391080791999,87.87736852709044,-49.822731574917775,1
M,Widowed,B,-151.91109927432666,-85.27794944716696,16.867548425838255,171.6306558689285,0
F,Divorced,B,-90.10049958525286,146.834739869321,117.07555782966705,99.44387517317638,1
Female,Single,A,-102.33631667295069,54.12100465612494,98.46123805646106,157.26307912163034,1
M,Divorced,A,95.85011464485524,-175.93725713818006,-69.31349152037895,10.504015453905057,0
Non-binary,Widowed,D,51.109773633357435,-0.23838429196837113,39.91197726184967,27.552413083676676,0
Female,Divorced,E,0.3888771906713631,-93.6372207752498,115.53314555523988,22.68311717801078,0
Male,Divorced,B,-138.58756676810572,-47.52936890758424,-57.22680521155614,-174.6693348076953,0
Female,Single,E,20.072204028122016,-30.377237900964094,-19.780352615047942,-8.908486589436526,1
F,Divorced,E,65.97311824064982,32.28079640598088,55.93687201254568,-2.058398914735318,0
Other,Single,A,3.0383372230908554,-105.84876693193557,148.27984268088338,47.140299312913456,0
Female,Divorced,E,-13.882549784992133,-5.133405525253135,22.562886636439465,233.66266333124847,1
Non-binary,Single,E,47.645207160119604,-39.377643964678114,-8.332613462170476,183.03218441688458,0
Other,Married,D,-75.53097875676953,66.39369842051268,-43.293355780022374,19.11189690309076,1
Male,Divorced,A,102.66313922254686,-137.20658606099403,-148.09554903722437,-7.926941599273853,0
Male,Divorced,B,11.261558611492191,-35.226661255850196,10.291676294763912,1.2755709170469605,1
F,Married,B,33.2076956233598,-5.819383976434884,53.429545423907584,-162.55852526748052,1
F,Divorced,B,-41.3541367061228,140.82630022931838,-19.590610843015504,-118.68460162094263,0
Female,Married,D,-29.543255618083215,37.87914107092381,-63.439665949996126,264.5447695785875,1
F,Single,E,-80.11889675627071,-82.60286720371242,35.05144227887868,164.17104032988232,0
Non-binary,Married,A,-42.3751183276329,-76.92530387613209,-32.52390016726903,-56.03485633912143,0
F,Single,C,-47.11628939717718,121.21557365160405,-22.263184898721537,102.64050160431117,1
