age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
28,217.79576632002625,121.6306074179766,B,C,-56.759297322136916,25.774716718413025,D,-102.0812600555284,1
97,-76.24974304291258,-246.46107110987847,E,A,-57.36231648980389,79.2693118428762,E,182.21608680669968,0
44,-92.27647688147202,-55.57251344375984,D,C,-144.2796911818123,-3.660823819709592,C,-42.199086356218636,1
44,-84.50184031884262,-227.94396818736908,E,D,-26.250581950101893,-227.98935248080352,D,149.85997445098508,1
26,44.50944289120071,84.53604289422437,E,B,53.43355339466822,53.29097055929167,A,95.26072962746694,1
67,-45.91158231427113,6.540169483835341,C,D,23.16546007333166,12.990506801402258,E,-48.40919164901896,0
62,-60.815846027992514,-1.0898002221225318,C,E,-167.97378844552685,-128.9550615740076,E,219.32208731751945,0
53,140.01514978681928,19.33038260364012,E,B,33.620932972990936,68.52118980875353,A,-115.2665008539248,1
18,37.55505561387994,2.186569107679667,E,C,58.35157574283206,-127.64441099128594,C,-42.11170586148133,1
62,-19.911439257632967,22.276475212780902,A,C,-108.1394181817928,-186.81669336802952,E,154.82943916525633,1
31,95.7081552220343,11.7857373796039,C,D,-240.19787134087215,-141.53305680677423,A,-41.98428717960262,1
61,24.725655965951635,-124.79809659548084,B,A,-15.422664501870177,37.569905265021426,B,-84.25609736563868,1
21,-109.6793213041264,135.88306162205762,E,B,-40.62820616165841,-18.37598274138254,D,-79.99154925290543,1
65,58.70264306259103,131.3612407407768,D,A,-67.2359519505953,16.723248921534164,C,5.743493334697038,0
79,-155.35856755404365,-120.76631532797799,C,B,160.94037065387647,-31.76742196406172,D,-47.45459835933013,1
18,-3.601011772175796,-51.62469765218668,E,A,-97.17108517022753,-97.19190479793855,B,8.440699494031142,1
78,137.5464041039306,-47.95771529349332,B,A,16.239109924320662,-84.3788598360005,C,-44.18182265183642,0
82,47.25324952553413,149.06697727688476,C,D,-17.59700757550887,164.87492062760444,D,-171.1228196274194,1
71,13.650137520126334,117.0715042491833,E,B,-172.7884897841726,-61.73246450878127,D,-84.93316399409892,1
27,-27.359665432390674,-100.78913670888087,D,D,-63.07647738052229,154.17569435259227,D,24.176282696331295,0
46,98.67621720197107,187.0970669706444,E,E,174.6231942836155,-174.62314112927194,A,-138.57886207211155,1
69,49.3693203760736,-64.67102053502366,C,C,-94.4811313367494,86.69099847851432,A,52.929784943682,0
30,69.29570673765119,23.585832869013917,C,E,74.07176397677435,25.578723196006237,D,-69.48519037818657,0
96,35.54178266898538,-6.243070899361268,E,E,83.3565993563753,127.09912727392472,C,-132.25266309378978,0
71,89.15621526187893,-52.411178510138576,E,E,51.69016924394941,157.53741094907033,A,-204.7008605585543,1
47,9.156536440380199,14.28172205217039,C,C,-32.58510726584457,23.734084051937625,A,126.03103743272115,0
51,70.24034832031225,-42.13443696696962,C,B,-61.109449802096286,42.392560526460755,C,-24.212260405257744,0
44,-64.33286107545848,-75.09157197234158,C,E,16.65622939146902,29.941599987051937,D,70.04082004390094,0
51,-204.5107216924289,-50.574951379448564,B,B,-0.884994741109928,-34.34979210689391,C,-157.96917659699184,0
28,78.62000119446493,56.95050063071332,A,A,-182.95437961585424,41.310796426412885,A,48.22767183166282,1
30,-51.79046206886948,135.7538262691053,B,C,183.7929865970989,41.05109059223501,C,-157.3468958980602,0
26,-33.08683207170052,-269.93572996303425,D,A,-51.75136361539485,-114.49208186045526,D,-74.88704104775782,1
89,39.808645781137166,-82.49660505016557,D,B,-102.50785452328242,73.52007062831085,E,126.28376887234644,0
39,3.0571025050767386,-139.11008569859638,D,E,-50.43492918474772,14.209424015599131,B,23.974695463429647,1
90,-127.9877231031048,-101.93038747735801,E,A,-8.071255175769748,-110.56471145019296,D,-108.30336918361405,0
67,42.558431118670484,-190.28163545326512,C,D,13.443648971002858,-6.363140564261737,C,-88.84836477934935,0
45,-134.37250414189756,-164.39755564921376,B,B,-95.12184937453787,-15.163445776347748,D,-7.41376874204651,1
66,-45.215620946561494,34.1039213715614,E,C,166.30059150239563,-25.036182288624143,C,-129.8857697547112,1
61,12.141060447811194,-52.44922693272098,B,B,-67.22983044463132,149.3506787739308,D,-164.85925897604002,1
23,-16.06342548740923,185.54899787295798,D,C,-44.171610604105304,-54.82100620634643,B,60.73858811232714,0
24,-164.30740176482607,98.05296508460427,C,C,112.66838269832932,229.2503519402275,E,-59.917765831225765,1
56,-14.169710209082245,140.18879591093895,A,A,25.590702508666542,-149.05439472250953,B,-41.968570009456776,0
97,-105.89682946412012,125.34619620712056,C,A,-141.62462732814265,-86.22279183463856,A,-57.26008394887234,0
51,86.19389968617853,39.20190949372867,D,C,-59.58431107511044,186.9173840508941,D,-5.585570351477279,1
67,36.01206498929456,-104.51608647556228,C,A,-169.50506418055477,46.724589148364316,E,134.86238922359064,0
52,0.13390416138765202,-171.2201415176146,B,D,65.43398122321875,-15.569195423317431,E,-56.06393259598232,1
55,-60.8387533278302,111.77180683906545,C,E,-6.0340116168053255,86.65698136627633,A,-26.483051624478694,0
79,-31.541636494065173,-67.93094602607879,C,B,108.60860923203744,49.83543644444181,C,96.30865720804613,1
40,-127.3228939738615,-182.10107082754215,C,A,26.94115507345895,-163.36568591039253,C,16.30751777915646,1
61,-223.40686565463815,89.93866818720724,E,A,7.091722211743018,-46.04904310575025,E,78.23127059925085,0
63,-195.16595942325884,211.2853381527712,B,D,-93.77585283202752,-126.93697326907917,B,67.41986477555787,0
68,-30.701598159500858,-265.33025989623764,C,B,199.0847440615189,136.07098000856598,B,108.62212112047716,0
83,43.36128852542096,-162.95535931268864,C,A,-113.05659953821903,-17.25211212031836,C,209.27461631199856,0
26,85.94945673403134,22.70017853896638,C,B,-57.050703090007204,41.23008026508665,E,34.66036470295239,1
37,-57.68646535741328,35.598466488261764,B,A,3.4279321979967796,-16.42512414810485,D,79.62972387516083,1
55,-3.882058224801774,-42.53178008468617,C,E,134.80261885379693,-18.809935935729328,B,12.224862442230364,0
75,-125.93183418296468,-11.643680159839487,A,D,-63.950551341442505,-119.6071607336187,E,-5.134712050834062,0
93,-4.111372428485519,0.3243836014396623,D,E,-4.932134438442516,115.59239872943712,D,55.72997816483336,0
54,-207.81483694611697,-184.03117113663046,C,E,-3.9059137766940033,-76.24553570073593,E,-51.551527808607766,1
72,56.11096206368433,33.06173263727447,B,A,-38.89190246885269,-63.16834168923411,B,-232.83935507220065,1
97,-61.893099833594235,-54.36615540747395,B,E,107.73839541719612,-86.06088806913542,E,63.288745230168566,0
21,4.444610001744661,62.79792734662748,C,C,-142.91877510553246,-9.671445225420873,C,32.935959793100075,1
94,-68.92273829711839,-58.901339008245344,E,C,-124.7412485386707,188.4103682089125,E,96.12252244851878,1
43,34.80540256678833,56.482894753454296,A,C,57.369879969291794,-67.77522745928076,B,87.08278776490324,0
53,-95.04044372961721,28.695016867190603,E,B,74.61206831322582,-152.09904301533496,E,135.32433338464713,1
18,16.274790174518593,29.853986177076063,C,B,-160.16341116575444,148.37516130237535,C,2.0940539726781293,1
32,-96.86407401079333,75.46998446650596,B,D,33.88724328548698,-36.70530313391991,A,159.82420686158503,1
62,109.37399283189355,11.974432042814186,D,A,58.01905991396086,152.52693241858066,E,-162.37527491276643,0
53,-50.33414827409742,29.168093448994455,E,C,-29.44962253472371,-43.14600611707596,B,1.2255974305636534,0
85,149.57045779519993,57.884650313598065,D,A,151.42660917793114,-5.1920142682844155,D,-75.71341686265879,0
92,59.96353142000551,-2.2889081169863528,B,B,190.66865483925199,48.947015922286155,E,-125.22441542717466,0
23,-34.16515618921387,48.55031875377937,E,E,-44.35147639842511,-14.93006109422314,A,193.5115830440872,1
28,-9.008047877363067,-153.102099023341,B,D,-203.7973804527982,-197.4879377385556,B,99.37558563622254,0
98,-76.78593669375175,-44.666461849582326,E,E,236.98440334483607,2.8956399162529154,B,69.77947527938466,0
69,-111.6266798014987,-54.03153130904327,E,D,-48.575237124435844,-86.75075520992472,D,170.11412853540386,1
31,-112.86086294829205,86.01056889557978,A,E,-10.534278479878974,149.07579999269132,C,-74.25080435369304,0
45,-19.047726418432255,-97.91184738616549,D,B,102.26891061068393,-6.3605829470747555,C,25.275106364429945,1
57,170.68466707464083,-50.59694848989016,E,C,44.56572454254981,-16.277279190019964,E,43.34174888795948,1
95,-101.83999050032713,-40.5797133572182,B,D,31.414642281275523,58.00567260094124,C,82.7216609348288,1
26,44.12227514359998,68.01513026064552,B,B,-78.26277028664012,-69.30294325158488,B,193.81039783688948,0
34,-80.6187115502263,-45.646099809911696,A,A,32.098756459394636,140.0582628870019,D,-34.42069870272504,0
37,51.72718009683604,-92.42113979074075,A,E,1.6131690395470009,78.89699021589622,A,-76.36459603356015,1
26,14.645910829989955,30.383372457674064,D,C,-78.75566257379816,32.12063459852713,E,-35.24861945080571,1
96,58.28796811142124,-28.97570902824471,E,E,184.76890233860797,-161.7699612367784,A,63.599410290303304,0
30,37.036908573437444,140.4958638152187,A,D,-96.71291349476216,12.25318293915324,B,-14.121082842904965,0
94,-92.29830360741124,151.8483988328188,B,E,12.694420249849253,17.993703928696853,C,106.46535454861097,1
47,-145.6868893168023,-12.16454758067076,E,B,-35.752245952940804,38.901183535120765,D,51.005495478985644,1
88,96.75162450168696,37.34010254325147,B,D,-167.14351960904017,134.4535804806642,A,-85.42908551126264,1
85,97.94127955517045,-83.45850233912316,D,E,-121.49035604305227,174.96690834759812,B,34.79826847655082,1
47,-44.69633289874397,-28.497074350869994,A,C,-332.6021789222419,-48.563624475911,C,120.92815893565326,1
80,-67.7428919650734,-157.91982313115156,B,D,108.82277754241154,9.439104778249511,E,-0.8084181869354418,1
45,-85.84119819832992,-50.960061701633244,D,E,-96.47181642943298,29.193251415558315,B,-130.25049585675225,0
91,93.45712583937441,246.16566956391682,E,D,-111.21566038994682,58.54652506715715,A,-60.59883334344466,1
85,72.08767414194458,-81.3738085256719,C,B,-115.52035657700392,-119.62969955820468,B,83.76631683290344,1
44,51.14613089151172,92.48816089078464,B,A,19.409475311862163,51.648133336286925,E,-76.9689728004505,0
93,71.49591347087629,36.04348396869847,A,D,-59.352653641148414,-65.25191846712069,A,126.35976364713257,0
73,-64.85455501407455,-27.019236581536905,A,A,211.56185548529766,121.26502618986237,E,45.910751005882105,0
95,-19.634593600364365,-136.90098861437056,B,B,75.3725996278369,-50.48594973261431,B,-16.28529090872152,1
75,-19.33047589325411,78.83879226137934,B,E,-135.72018090372092,70.465103799927,B,31.67059782063044,1
45,66.07489080572034,-239.98787662072937,B,D,-33.94326953145477,48.19487958093751,C,-142.8913018509294,0
25,-19.672274534542485,-76.96626296868637,E,B,-169.07876277690747,101.96605733527963,C,-123.49851450295755,0
