marital_status,genero,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Single,Other,Buddhist,C,B,A,C,D,-85.55223347133494,C,-51.88319759035953,B,D,111.17920763101361,E,-157.57860673607252,C,C,45.21641321588059,0
Widowed,M,Christian,D,E,A,C,C,80.39996278849198,E,-163.37302940758704,C,E,27.70008819516049,D,48.68953705489135,D,C,12.608272469568721,0
Married,Non-binary,Hindu,B,A,D,A,B,10.824751738190718,A,-147.59704551661594,B,E,66.17012711495067,C,43.39852677232091,C,B,-44.27820459954106,0
Divorced,Other,Jewish,D,C,A,E,C,-18.62760068354227,E,1.8851558561003467,E,A,45.50753667783053,C,62.013196666223166,C,E,57.16721746449974,1
Widowed,Non-binary,Christian,A,E,E,D,C,34.73699738182349,E,-254.85312353993586,A,C,-147.75347288332043,A,45.10543737563736,A,A,-139.48594644448053,1
Widowed,Non-binary,Jewish,A,D,C,E,D,173.73987259553368,D,119.11554711695838,E,E,-30.828045676906,D,122.79336789268199,D,C,-101.02767932969829,0
Married,M,Buddhist,B,B,B,E,C,-93.81120630272738,E,117.40741950231188,D,A,60.134356335340236,B,23.710159398184242,E,B,-80.4669241286035,1
Single,F,Hindu,E,D,C,C,D,53.5302833329385,C,102.18073190263068,B,B,-93.77079879832199,A,56.7528060314138,B,A,-104.16479039281788,1
Single,M,None,A,B,B,D,E,15.89727123224771,A,238.65431158148783,E,E,137.69932849632445,C,-55.261658422637,B,B,-14.209358342973664,0
Single,Male,Buddhist,B,E,E,C,E,-9.291032829217704,A,67.93294385308201,E,D,-101.89957268757072,D,-43.213057565080106,B,D,64.62547310332062,1
Married,Female,Other,C,E,E,A,A,104.73426974864002,A,103.56514263443954,C,E,11.88033572646118,B,-54.47494864991278,C,D,-119.28864229129965,0
Married,Other,Jewish,B,C,C,D,C,-28.52026380576161,C,-82.65920647172923,B,D,75.15501631923732,E,-61.05917458418837,C,D,-96.70873431244645,1
Divorced,Male,Jewish,E,D,A,E,D,77.06861860224737,A,-8.504305935758532,B,C,-85.66123789581056,E,-86.80077138672299,D,C,-10.087601746230163,0
Single,F,Christian,E,A,E,E,B,52.15732729970124,D,-0.017295339733201194,A,A,-210.79429756561058,A,-42.69730595005784,D,D,173.50549652224566,0
Married,Other,None,C,B,D,A,B,9.655815754002548,D,90.08203462664706,A,D,113.69769251999516,E,-195.68791367689954,A,B,80.51282201293705,0
Divorced,M,Muslim,A,B,D,C,D,-5.193827255165087,C,3.305686893731044,D,A,74.16507384961693,A,37.23949323708174,A,B,39.681004600667094,1
Married,Female,None,D,C,B,C,E,-116.08372848803069,A,11.391915789872693,A,B,33.45199401956201,E,130.30870222075086,B,E,215.5793659368884,1
Married,Female,Hindu,D,C,B,E,E,-92.8439077822109,E,40.24639332913003,C,C,-141.67917674404438,B,-76.64124771021281,D,B,-48.43558402251541,0
Divorced,M,None,E,E,A,B,A,10.034339967905304,D,-68.05955985687663,E,E,35.17940136517326,B,22.598537439353098,E,A,30.075612988986776,1
Married,F,Muslim,C,E,D,D,E,-153.66128590101417,B,6.862034833653406,B,C,134.20636406259757,A,310.68154674954394,A,B,-189.53784109916072,0
Married,M,None,E,D,A,B,A,2.465849323103563,C,-111.64889047812201,E,E,-37.165898569226115,D,57.37959598837923,A,E,120.48762069996528,0
Married,Male,Jewish,E,E,C,E,B,47.62704004856287,B,116.50661924081227,B,C,-140.04008521671813,C,77.10157750456729,E,E,-52.79796980517468,0
Married,F,Buddhist,D,B,C,C,C,-45.345168869546285,A,-30.131004555394643,A,E,81.21582032475271,D,-77.0735387790449,A,E,-112.71111777021092,0
Widowed,Other,Other,D,A,D,C,E,-43.765832220712234,E,-47.103309599275526,C,A,-28.33027446749692,E,-80.73815399589621,B,D,-97.12937226680188,0
Divorced,Female,Buddhist,E,A,A,A,E,-85.57445456534067,B,-103.71232390836951,A,B,77.0002309507969,E,97.06477717776089,B,C,-58.139046857511076,1
Married,M,Christian,B,C,B,A,D,-89.55932218310323,B,-20.485159447184145,D,C,-55.01692938013044,D,-96.81548802108735,E,E,135.39209157085375,0
Married,Other,Jewish,D,D,E,D,E,-142.3292260783222,D,87.74718352442405,B,D,230.93212993562378,D,125.95750381818208,D,A,-115.9648841809031,0
Divorced,Non-binary,Christian,C,E,C,E,E,-180.99976455853718,E,-10.940243400517922,A,C,162.22340627599553,B,-8.759248540963707,A,E,-87.34653910708926,1
Single,Male,None,E,E,A,C,D,101.91388111475223,E,21.325699775946095,B,B,34.78601413991083,D,61.69883957832006,D,E,-51.471524379717536,1
Married,Female,Other,A,C,D,A,C,24.528342215756677,C,-17.247546713887495,A,C,-29.933617989981272,A,-2.6634215672652126,C,C,13.590647022757766,0
Widowed,Male,Other,A,C,C,B,D,-166.59124960490252,A,97.74133391472577,B,D,97.48350173959324,E,-125.51933789434733,C,B,-33.05866381879201,0
Single,Male,Hindu,C,E,C,C,A,134.66955965061075,D,-8.035550440164796,D,D,-35.571389782272234,D,-29.412617458342382,D,A,5.652069785711113,0
Single,Female,None,D,E,D,A,B,-109.80430128069175,D,-65.76630086703476,C,C,-229.4882352542981,C,41.02809289176061,D,A,100.52389325210711,0
Single,Non-binary,Buddhist,C,C,C,A,A,84.32002657298497,C,-25.760906781950695,B,D,38.3299134501688,D,-50.54545574135122,B,E,-196.87144373492615,0
Married,Female,Hindu,D,E,A,A,B,68.92644933645823,A,-184.34443358608203,C,A,-8.0653249668297,A,105.884269539613,A,A,33.220431563314825,1
Single,Non-binary,Other,D,C,D,B,A,141.68411788234798,C,27.577039882155795,A,E,21.201840346541466,C,-1.9057888584989844,D,A,-148.06513088678784,1
Widowed,Non-binary,Christian,E,A,E,D,E,-31.396920521188104,C,129.8888888297627,C,A,20.839077920727338,A,-88.8669258892712,E,E,35.27662930772358,1
Widowed,Female,None,E,A,E,B,B,120.12688456766509,C,-83.58057050497226,B,C,-89.83299327677415,C,92.68256028910587,C,D,-66.9080727622601,0
Single,Female,Buddhist,C,D,B,A,D,103.71794292602554,A,-92.4311195458452,D,D,6.779600612181319,B,12.534357715825378,B,A,-193.4358665599671,1
Divorced,Female,None,B,C,A,C,D,155.58968177859023,C,-57.79988930554447,A,D,-63.62754255932989,A,42.72254341207616,E,B,45.25192137256577,1
Divorced,Male,Muslim,D,A,C,B,D,-65.08338045582578,C,52.803096249830894,B,E,-90.8716922428513,B,2.5278937370865524,C,D,-31.037042025488752,1
Widowed,Other,Buddhist,E,B,D,A,D,57.79766187699109,B,-174.97013813565826,A,A,192.20600333965555,E,179.58067079329604,A,C,-256.8227953383507,1
Single,Non-binary,Other,C,E,E,C,A,-133.80993815529308,E,125.38298321178765,D,C,-187.7847252907305,C,-127.31755047079314,C,E,75.93586010330493,0
Single,Non-binary,Christian,D,A,B,E,B,-12.363915729713183,D,-67.93591118441887,A,E,-163.98357088495814,B,-80.25230247765226,B,D,60.8006453861061,0
Single,Non-binary,Other,E,B,D,C,D,-0.1520648602439685,C,235.901097178248,D,A,-189.73025317266433,B,-72.68301402361875,D,D,36.41100646603952,1
Widowed,Other,None,A,C,C,A,B,62.588415877025774,B,-44.71150845884497,D,E,-177.07575264054577,E,-75.92745605201702,E,D,105.85260691862706,0
Divorced,Other,None,A,A,C,D,B,273.67830859125746,B,-213.80204980694063,A,B,110.03416703026461,A,70.98408675213742,E,D,-35.57579083402535,1
Widowed,F,Hindu,D,A,A,D,A,48.76241560363918,C,-25.480424981895585,B,D,76.65082525085964,C,-146.42650643037632,B,D,10.680084359220466,1
Divorced,M,Buddhist,B,D,B,E,E,219.67329583531617,E,-178.494451012496,D,E,-21.930875304205287,C,68.77182827039502,E,A,-109.9935474127838,0
Widowed,M,Muslim,B,C,B,E,A,-13.553928246676481,A,189.80651962397297,B,B,89.30495590456142,D,-28.702372673960518,D,C,-120.15931202928539,0
Divorced,Male,Muslim,D,A,C,D,C,-118.25703509322312,C,-76.26182549870187,D,D,27.34012638243121,A,-19.963178196449547,C,D,-107.97662803942943,1
Divorced,Other,Muslim,B,E,D,C,E,3.567935145036987,C,27.218624059702435,B,A,-64.84635511508579,C,-10.175092858492011,A,E,-4.547346501555948,1
Widowed,Non-binary,None,E,E,D,D,A,60.00094023315643,D,-128.29185568962018,B,D,-78.73337086561422,D,-168.5021120849915,E,C,233.3722707932281,1
Divorced,F,Hindu,C,E,E,B,E,-18.353120507400998,D,-249.3485931148968,A,B,-54.45703061094378,D,-122.26756518913069,D,B,-89.84859933687976,0
Married,Male,Christian,B,C,D,A,D,-52.77435658075809,E,-44.340085260747294,C,B,200.9915694289038,D,-79.22240851988872,B,E,30.516387226719004,1
Married,Female,Other,E,C,A,D,E,-93.78775810222012,D,40.360566241345595,B,E,92.63360081479,C,44.68094586089656,E,D,64.40997103379885,0
Married,Non-binary,Hindu,A,A,C,C,C,-165.7644435423425,E,51.1373571040951,B,B,56.266572044202526,C,110.64988482759614,D,A,153.63252663965753,0
Married,M,Muslim,B,C,C,D,B,153.66542284892233,E,-20.962036750596724,C,E,14.35221094619283,A,-37.40056631091735,C,D,-104.18736623517022,1
Widowed,Non-binary,None,B,D,A,D,A,132.94240139045502,D,-136.69609864931977,E,C,80.75544489427209,E,55.96595230195468,E,D,77.65038374529621,0
Married,Male,Buddhist,A,D,C,E,D,22.839770190319896,D,-110.42834023178962,D,A,88.29775496027985,E,-50.02118223349964,C,D,-10.171324499059455,1
Single,Female,Muslim,E,E,B,C,D,-24.953945631349363,D,92.90131549659901,C,E,36.257921817688704,B,75.45792561163489,D,C,-14.709428135053473,1
