ethnicity,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
White,65+,28.730934428838268,E,A,38.49049737936573,-118.3479112135738,-111.06472126347151,-264.7749513521918,140.19851227041053,E,70.30558762725882,0
Black,65+,-8.46575063612664,C,B,2.181662321691204,176.43145316101277,27.26250319097226,161.40347205328217,-60.252717103605434,B,33.56544188225714,1
Other,18-25,0.8453979256884052,B,B,-31.582331751685622,-84.86894690511916,-122.11433549495348,58.89926566646289,17.625182495237382,D,81.8448984700894,0
Other,26-35,45.6652188271047,D,A,-217.13765335261436,127.80080549074722,-91.39095398653069,-46.23268714775335,-224.5022079929991,B,-133.58267853076939,1
Other,36-50,112.28497387593566,B,B,4.398572934785209,117.33403850769987,21.25580238813972,135.90753035790536,38.284935303988064,D,-45.17446029449009,1
Asian,51-65,20.555535687345316,A,D,95.76353920587584,164.96998307139526,-30.274313666333384,140.30654527750107,-61.939622514263434,D,-262.9413331563032,1
African American,51-65,0.015378478408840384,C,E,-134.31174063113366,-81.07621348779809,-38.3765624522593,51.51828718095496,-59.47156280922354,E,102.85480803870215,1
Other,51-65,-105.50698528669609,B,C,-115.8609235237976,-124.77349170852727,-200.1358927569931,-129.8987865919534,-79.94621393065195,E,129.57701764946455,0
Hispanic,51-65,-131.59933853227395,C,A,-240.16608161164382,55.084506459318405,229.0984710892158,16.85698834550868,74.81440981428878,E,-48.85178631124369,0
Other,51-65,-38.06760168458388,D,C,36.631107149217264,115.25363852642951,-88.45527143484601,-113.75937291015197,-124.03664976443511,A,-5.574158355299375,1
Asian,18-25,76.78909382387204,D,A,-66.5293863395249,32.786424899351054,-90.10691575447623,74.26999125601927,25.90076938092925,C,-22.274341127114532,0
Hispanic,65+,-46.239272075984886,C,E,-83.00763512252797,53.877970299191134,-0.9760634672310307,-12.980128600370797,-235.35879220046812,B,117.57935693787915,1
Hispanic,51-65,11.03810152471235,C,A,70.78698527667284,145.7010615879885,97.73307763859474,68.95239089778045,-62.314125383049856,D,131.29996801106395,1
Black,36-50,-34.21323230352095,E,A,159.9220376845845,-113.12991340518519,84.57716683544962,-29.89345402901401,-167.75844351842085,E,53.53634542813066,0
White,65+,-3.9368716476508485,B,B,-15.324261250300053,-89.72904393591439,-30.033679450549645,72.25924517202384,-246.34106617945665,D,68.65405925302767,1
White,51-65,74.48779669245262,A,B,-20.96003697101744,-31.98827343172252,9.36314718346522,-149.74394420606788,52.53459718001988,E,134.61320980698085,0
Black,26-35,-222.2081672260233,E,C,-27.342808226627135,-15.156343483462933,-22.314288265061023,-118.70384920971738,-190.792778798641,A,47.03067125573382,1
White,18-25,-125.34384421921787,B,E,-200.0474884378443,-21.846195897920367,-97.77444777105191,136.23553033577684,75.45980041107455,A,86.40069693337199,1
Hispanic,65+,85.48753645383101,E,E,47.17171830452527,89.6222312108493,69.5958129157663,122.65424744085695,-119.72367474791461,C,-3.5024050455636018,0
African American,18-25,-60.83711854281305,C,C,132.47895792061516,-24.076633346406094,25.258975025863567,5.103790881265131,269.07908974884725,E,7.114448010577487,0
White,36-50,141.19578831568114,E,E,-141.30242443842474,-184.40794923639012,84.15922849203608,59.6125940105246,41.956390528196806,A,80.82303038280408,1
Other,36-50,-30.31942375591138,A,B,-150.7613140364151,136.1483310229134,122.06591374445068,49.42642198814697,60.32658628092121,E,52.355886515366045,1
