nationality,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Other,Black,109.3097003053372,D,5.975835309292329,A,-95.62649858874602,40.299055390536886,154.86777241868919,D,A,0
Brazil,African American,48.83820831132673,B,-87.03198305805154,E,68.79279910070592,50.01038898610233,38.21638515581855,E,D,0
UK,Asian,-84.61542932658887,E,216.42007144517734,A,14.343185274670962,-82.22193150727175,54.300660185060835,E,E,0
Germany,White,-1.8709111479585163,A,70.50014906052597,A,-29.589632649178917,32.816596204179895,-262.21024053786357,A,C,0
Mexico,African American,31.111287843975038,C,122.95565950757677,D,98.6438198971396,74.33255949515596,104.83262633141376,B,E,1
Germany,White,-0.10156882267708571,E,-49.34957828317227,A,-135.3184459774957,-41.68907917789738,51.381914829994734,E,C,0
Brazil,Hispanic,57.64631147815466,E,14.544857973863989,C,188.2203365896654,129.50950701202242,41.11963862733045,B,B,1
UK,White,-31.374890450914343,C,206.02587990122942,C,-67.40017191773856,31.67119246288938,57.02255303355533,C,E,1
China,African American,144.86274008153785,A,-148.27654491902112,B,-53.027721842825315,-47.455580924287965,26.833336630801103,A,E,0
US,White,-330.1996102130758,B,166.09245507786062,E,53.60891926723943,30.303747307093857,20.635981585199254,D,C,1
Brazil,Hispanic,-182.31882537338973,B,16.232043435331537,A,-84.39704853283011,-39.20026925270856,-115.65958947800287,D,E,1
Mexico,African American,11.032541432517,D,69.26607409020225,B,120.5578377297544,-77.36362559664911,0.310101926642157,D,C,0
UK,Black,213.86217379241143,A,-184.56973024829986,E,-96.04618682413398,-41.585306254975194,62.6114507430237,B,A,1
Brazil,Other,166.26950280036777,B,-23.738740056304124,B,-34.511434450719506,-127.96007853295121,39.40187489635993,E,D,1
China,Black,62.74359388063466,E,20.824255425007383,C,208.58704559662104,43.04197162470344,14.711186807890881,E,B,0
UK,African American,111.1513191349599,B,-21.84589291877389,A,129.33607385791484,106.97322916173673,-87.79646265163706,D,D,0
Brazil,Other,-21.766183976925856,B,203.68041276283301,C,169.74508444163453,66.06112842588823,200.71085154277165,E,A,1
Brazil,Other,-63.24611833337656,E,97.54275281912179,B,204.70011685142734,-59.093494161377016,-24.424997697755643,D,E,1
US,Black,-29.95155321594923,A,145.3526750050771,C,-113.88461144109425,38.43933784285215,-22.187204088611573,A,D,0
UK,Other,-88.86092533742372,D,88.5755099154313,A,157.1561555847198,-46.37583021373478,27.519379620088724,A,C,0
China,Black,-37.62050670239145,C,3.359892857107105,C,4.4157762249548,56.321485076769854,179.38444803209956,E,E,1
India,Asian,-96.23774349271228,E,-45.20561885494617,A,-180.7010682188544,19.161259417817327,46.98705451776426,A,E,1
US,White,24.39476638977572,E,120.97206468311062,B,67.09679571539246,2.4382906862722686,7.30858523514647,A,C,0
US,African American,-94.81175557973678,E,190.72659059914432,B,-12.764808943732596,186.2746893180832,120.98864942919505,A,C,0
China,Asian,-45.61764696329904,A,164.56678537694705,D,-101.59310062137905,40.740665655753816,57.780239585483415,B,E,1
China,Black,-58.157852018137405,A,-44.45488195764507,E,-226.7710459549196,-40.040613353020674,-99.49818028629345,A,E,1
China,Black,-145.93832949652793,A,-47.14572897265569,A,-62.408104624035765,-43.4677816174585,207.06848912837938,E,D,0
Mexico,Other,-35.457131996009686,E,-49.74101484015933,B,64.47214273463238,102.7220834609939,-128.4358309785923,C,B,0
China,Hispanic,93.69725291579498,B,0.025170286872445324,D,56.414205198745215,11.173424653472475,161.51165270223495,D,A,0
Brazil,Asian,240.1537478604731,E,-27.727739992149054,C,3.091866338621371,-194.71832686247566,6.154627438090091,E,A,1
Other,Black,82.03430753852238,B,49.26277745262973,A,198.7041638575417,-14.976600676170989,41.069374480252925,E,E,1
India,Hispanic,6.028873676071869,D,158.61193237781885,B,38.96442183775538,-5.960085904453366,-24.323478509003255,C,E,0
Brazil,White,135.0588273083078,E,-162.61062355233977,A,39.61321755672819,7.297650032053459,64.14450229913729,E,B,0
India,African American,-198.6404288110703,B,118.20342660982521,B,-1.1909422724030183,164.96030956764605,74.66706300959923,E,B,0
UK,Asian,142.115383831801,E,-16.54905490458387,C,145.32947806860318,-27.688871057233587,135.51732472718368,B,D,1
Mexico,White,13.449007076886254,A,73.30055665276241,B,41.04126746734897,46.63534782723417,-46.44958119095022,A,E,0
Brazil,White,45.31505501008061,A,8.114483361457083,B,36.274432495070656,70.5199822846548,-2.8601178695204457,C,B,1
Brazil,African American,-38.01553438252665,B,-75.28045247125347,B,4.724568063257498,26.157446135483415,12.239653263157606,D,A,0
Mexico,Asian,162.24812539654374,A,-54.74336640427735,C,17.76328419597636,68.05896490794439,-126.70811687562771,D,A,0
Mexico,White,20.95427718670714,A,-146.80205277719028,A,35.49013923361644,145.56005443568344,-139.15666684051808,A,C,0
Other,Asian,-48.448159837342,D,175.89515320369532,B,4.287327487394103,112.85327351938226,70.88993537250977,B,B,0
Germany,Hispanic,158.60772003986145,B,35.361926046144255,B,184.35684875270076,-160.59110574468286,-13.990851747729591,C,E,0
US,Asian,-18.748234700947027,C,3.9657273380764484,C,-8.669620215443006,55.66893261045834,8.535800617539051,D,C,0
Brazil,African American,-2.2789424144318007,E,-48.75493172455136,E,-146.6879663668193,-241.13075619259757,-81.33699994149171,D,A,0
China,Hispanic,-188.94200840341026,A,-157.00174174633278,D,-39.899922875546764,-45.87457179043872,-83.72993183088553,E,D,0
Other,Other,114.98464679796547,C,11.375148100188675,D,124.34252547727492,7.259557412376112,88.54554641437173,E,D,1
Other,African American,-48.08897402850063,A,14.306494147470502,C,-34.126240431801214,163.4572617196646,10.593722340173292,D,E,0
US,Other,-54.850566856348834,D,213.1118699200792,C,93.67929733142006,-53.09713997909644,131.8013997214785,D,C,1
Brazil,Asian,-107.27049754252391,A,36.56923987226964,A,91.71960218018383,182.0484716323316,90.26677732692366,D,A,1
Germany,Asian,37.22614875967917,E,201.2771052968085,C,45.57341632296276,44.48019215532765,-30.39369081960131,E,E,1
India,African American,98.20704284623307,D,12.941678344873091,A,-20.94710089541506,93.14826676736922,139.88362890229882,D,D,0
Mexico,Hispanic,187.23402239490056,D,41.98627171478973,C,-80.04352245485983,95.35528307572928,-4.476341916697061,A,A,1
Mexico,White,49.593020027874054,B,-51.159346852989685,B,183.85232086119177,-114.89933176594414,-9.369581139656326,B,D,0
China,Other,29.928928739216577,B,86.828013216999,B,-132.95790651251403,-91.68036763791874,166.32864183143968,A,C,1
UK,White,15.997875881971563,E,38.15657295528283,E,-145.76747388745991,63.119196546759184,104.40933062434937,A,D,0
US,Hispanic,-121.2255611887388,A,22.45713603463912,C,-52.76423609426277,-87.19024005615866,24.632158755230535,C,A,1
US,Other,38.553177686561774,B,-33.56078750284324,E,44.689450433626114,-23.61350671393142,-69.65736703048766,C,B,0
Germany,Other,-14.35791562261057,D,90.62392244151252,D,14.429038950385664,148.94750782948,167.12240356241603,B,E,0
China,African American,-8.76599250073627,C,-81.26797011878217,C,80.69662092914108,7.199265113295541,-18.894369148753196,D,E,0
Mexico,White,109.8446062976633,C,-149.7501036247873,C,-38.467923390260225,-90.54753811075538,-14.323747835690986,D,C,0
UK,Hispanic,12.147487338226911,E,-22.299821245733394,B,61.99898969227241,62.1619140158544,-52.0394996211892,E,D,0
Brazil,Black,-51.11694775571354,B,-5.750785463366876,A,-230.57268247552338,-84.17233544178715,-156.39436290054843,B,A,1
China,Asian,-80.6138237203647,B,29.76024880267695,A,-44.39244311826328,7.457695631849155,-17.198775986236484,C,A,1
UK,African American,62.090293775882785,A,38.908029372560634,C,98.82064034097058,-123.9126448565731,65.66865213878881,C,B,1
Germany,Asian,95.36567434274801,D,168.13204752512004,C,1.5846620040456485,-340.5219501775181,-26.943863486340096,A,B,1
China,African American,-50.54716050539015,C,192.52906172464384,B,106.47358378320719,42.631086560118455,63.11758148999007,D,E,0
India,African American,-86.33634058930888,B,107.55339991826413,E,-0.7163638081892877,-66.13552192849352,-51.197013556735705,D,E,1
