sex,Religion,married,nation,feature_0,feature_1,feature_2,feature_3,feature_4,target
F,Muslim,Widowed,India,190.66325851302543,C,-23.6189064563247,-21.31689711718974,E,0
Female,Hindu,Widowed,China,-91.00032492506578,C,-11.49522664694909,-28.59886601931837,C,1
M,Other,Married,India,48.41888901952389,A,-34.86896675154016,-193.15545658686054,C,1
F,Jewish,Widowed,India,-63.70256397837497,E,-235.82247894406487,-3.4559263965620173,A,1
Non-binary,None,Divorced,Germany,39.592196173551116,D,56.45976688723013,33.94628377360422,C,0
M,Other,Divorced,Brazil,53.92188265181309,D,-38.993964940756456,0.6673435297647253,B,1
Male,Jewish,Single,Brazil,32.81279550895563,A,-28.223736379813445,73.664998842425,C,1
Male,Hindu,Widowed,Mexico,93.06226111986038,D,-96.79170833414645,45.30824291483645,C,1
M,None,Divorced,China,-38.447793146772305,E,38.000071160177264,-171.33367947632513,C,1
Non-binary,None,Single,US,74.87603977832265,A,24.553691485901574,-161.08746164697587,B,1
Non-binary,Buddhist,Married,UK,-20.760453602820963,A,-53.40660305993352,126.55920124173986,A,1
Female,Muslim,Married,Brazil,285.89476881492544,A,6.634873351074589,-63.995309971502856,C,0
F,Muslim,Widowed,China,54.314520546413966,E,139.49354097542553,20.399996017170384,B,1
Non-binary,Buddhist,Widowed,China,-22.94847496140865,B,-31.68645018617377,13.187030622066956,E,0
M,None,Married,Brazil,26.0035285847837,C,27.485441687622796,57.92569103212381,E,1
Non-binary,None,Divorced,China,-54.83335342067066,A,-132.72587048769498,223.7929006066218,C,0
M,Jewish,Single,Mexico,-157.51644201357135,B,-56.832798513069974,-108.51849113920981,D,0
Non-binary,Jewish,Single,China,-28.754367365475147,B,-67.81681510614493,-99.9564983161372,C,1
Female,Christian,Widowed,UK,6.764474624660812,D,5.431021952402962,-232.4187516172715,D,0
Female,Other,Divorced,Mexico,84.524293907674,E,84.43977123484736,-22.092324133367107,E,1
Other,Other,Single,UK,106.34471231887812,B,-97.58466208003,27.093429142287757,E,1
F,Hindu,Single,Mexico,-117.97724080490038,B,151.45560083262254,213.59613946875618,E,1
F,Muslim,Divorced,Germany,-18.169167709775046,C,-116.21460398367415,23.790308043949626,A,1
M,Buddhist,Widowed,Brazil,-30.5420020162253,C,86.27065163429603,-1.6992989646133712,A,1
Other,Buddhist,Married,Other,145.22015163383207,D,1.405560090031259,70.55597066404616,C,0
Non-binary,Other,Divorced,US,-2.6578203265934923,C,-168.0651520437243,-102.58210932277814,D,0
Other,Christian,Divorced,Germany,24.062541741882615,A,-107.17734804275918,52.26206816862281,B,0
Male,Muslim,Divorced,Germany,-57.137993453927685,B,-23.924648270946296,6.633727373901059,B,0
Female,Other,Divorced,US,-34.82028260002643,C,90.54472722435246,-59.95767802844445,B,1
Male,Christian,Married,Other,40.06819748366316,E,64.71107661577634,-29.649525480629123,A,0
Female,Buddhist,Single,UK,-21.56535682868201,B,-5.784896822905423,93.67572525059768,D,1
Non-binary,Buddhist,Married,UK,46.892132089235545,A,-25.87060675395943,-77.06435190993079,A,1
Male,Buddhist,Single,India,-57.300460303012635,A,-27.574493263901513,-88.37854747066258,D,1
Other,Muslim,Widowed,Brazil,-0.6949031907819972,D,-132.97931434820492,-102.6369645791152,E,0
Female,Jewish,Married,Brazil,-69.17867276142053,E,122.74423404986649,-43.315967889688864,E,0
M,Other,Widowed,Mexico,108.37988184334205,B,44.53529725069256,-295.13625204035833,D,0
Female,Buddhist,Married,India,-114.5575719106795,D,27.725392111493484,-13.313295277036962,E,1
Female,Muslim,Married,US,11.070374487178299,B,-210.47670701366332,-5.477579142377278,D,0
M,Muslim,Single,China,140.7842298981562,C,83.65749694183388,228.6470441033444,B,1
M,Jewish,Widowed,UK,-28.380586076602032,C,89.98114019882499,-157.93757372820227,B,1
Female,Buddhist,Single,Mexico,215.99985169458193,B,77.65003019194167,109.55518930725998,C,0
Other,Hindu,Divorced,Mexico,-49.08464429995063,D,105.57861379507432,114.70241476595109,D,1
F,Christian,Married,Mexico,-54.05947021896906,C,75.41279004008844,-95.15154279792897,D,1
Other,Buddhist,Widowed,Mexico,-29.366500749556867,D,-70.64461211590535,75.07238265867537,C,0
Non-binary,Muslim,Divorced,Brazil,-79.34464043103469,D,91.07368289529649,-250.92605252308266,D,1
Non-binary,Muslim,Married,Brazil,-37.80625488300903,C,-27.297093403303673,80.37517539883451,B,1
Non-binary,Other,Single,UK,71.08721592202879,D,-58.978540778521094,28.92616130204142,D,0
F,Other,Widowed,China,-58.75731394318241,D,126.12068116831708,108.0752265091164,E,0
M,Christian,Divorced,Brazil,-2.3117603576121954,E,-80.01390955400764,36.6455560961251,E,1
F,None,Divorced,UK,-115.3809676286166,D,15.835370527767017,-31.305039720254328,D,1
Male,Muslim,Single,Germany,-83.31830544124604,D,-190.40205358654504,102.46666079520284,E,1
Non-binary,Hindu,Divorced,US,-28.198581027459905,C,297.5468715678991,-32.45805528909503,B,1
Other,Jewish,Widowed,India,-114.58372141791979,B,-91.76787708069082,127.3995337923999,A,0
F,Jewish,Widowed,Brazil,-85.681937216099,E,-16.957294305623886,-9.025583004832525,C,0
Other,Jewish,Widowed,US,-161.57244639964986,D,-138.64222615285968,67.6835678445368,A,1
Other,Other,Widowed,India,-43.65725276822815,E,41.235211694445326,-76.91741878642355,B,1
Other,Jewish,Single,China,207.88536573390962,E,28.53316301306358,-84.91458761864567,D,1
Male,Muslim,Widowed,UK,-98.5150436321069,E,-80.03748760507033,194.78088490552753,B,0
M,Buddhist,Widowed,India,76.54565584523571,D,-115.26967561546529,43.08664007055587,A,1
