civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Divorced,C,C,60.7024278436297,B,289.89021153883294,-81.82529855211858,D,122.64529558613762,D,52.84439308368278,-147.62294731604126,A,-77.00451281038448,D,B,B,81.36649429509431,0
Divorced,C,C,0.7565709599613615,C,23.700728270474713,-37.94056788727417,E,176.9153338881196,D,43.978649831233625,0.571154398675382,E,-64.73129297063164,E,D,E,-128.02635336111564,0
Divorced,E,A,-135.49244026071983,B,158.732239497355,49.200090056596046,D,65.49531491986025,C,-115.53613661227264,67.62554985278645,E,32.96804737546445,C,B,D,81.1666328595415,0
Widowed,B,E,4.772619461038542,C,95.7908213916604,-92.7920212159347,E,129.10029759529579,C,142.0817302801998,-125.77740361093082,C,-28.48343788054757,C,B,A,-188.54953722928929,1
Divorced,E,D,75.31742765522318,D,-80.12671195292751,85.76402810995079,C,-319.74862154449244,D,-57.91524855216134,-11.817169157076005,E,-178.8973581676934,D,C,A,-20.849821851776433,0
Widowed,B,C,84.6221581364923,C,-314.5722106451356,132.75824392889837,B,20.63262479436736,D,151.69989303339375,11.738963114481903,C,-105.54879234418931,C,A,C,11.165235308290297,0
Divorced,A,A,-72.0170169509202,C,-70.00741844524606,-78.90674644584219,E,4.8001586552896764,B,144.26192557764318,185.38258326503117,D,34.128877106058425,A,A,C,22.273402575308538,1
Widowed,A,E,-13.11485347510547,C,94.05030877110951,-14.123194246222859,B,95.32631340097716,B,-34.95729336475605,53.198396669606865,A,136.61813984239845,D,C,B,-95.39506511300246,1
Married,E,A,30.00729551917584,A,-216.0041574719478,84.86185688370927,B,97.17558928585099,B,-36.24158097697518,18.005860232247866,D,93.05660291418452,D,D,E,24.885782682570827,1
Single,E,A,-134.232255210077,C,-118.1016056645251,-47.825107765574415,C,-92.8721751474043,E,29.415669524835607,63.7846519637977,A,10.554286333907378,D,B,C,0.04302606397022035,1
Divorced,B,B,-25.73009211333794,C,128.8566343136386,40.31852122744093,A,66.46485027352468,E,-3.6489364410135345,63.45140738532245,C,-9.77201740252555,B,D,A,130.7825664468998,1
Single,C,B,134.3428756529874,E,66.41986165684227,59.59901827427673,A,114.59680281652658,B,39.93349774831894,163.58284096744146,C,3.608429476710995,B,D,A,-31.474659900019518,1
Divorced,D,A,89.18151950927381,A,94.71413792465567,-6.622324996305603,A,-42.27905780465187,A,-123.00622491618718,74.41426944931571,D,-92.28798527660929,E,B,B,42.28887512051606,1
Married,A,C,-93.41352568067248,D,1.89208039872261,-28.786846738622124,A,-18.832241951305274,A,7.48692574864223,36.37009233559142,A,-212.74702050093813,D,C,E,-11.6926237856638,0
Widowed,B,C,163.5747763962073,C,-169.9904967156922,-125.46114782462547,B,140.87446677800938,A,-34.6195423251488,75.06679641898847,B,-42.296729003662996,C,E,A,155.78789185064238,1
Widowed,B,A,27.92478379558719,C,42.49935520320599,-34.856953329736456,D,13.411162382292344,D,-42.22087895729895,-154.98677533561485,C,11.901667191180442,E,A,A,-102.81876520879003,1
Single,E,D,-40.579358103001795,B,-5.9478478488534785,50.618620806200354,D,99.67834791592176,D,-160.84375375893808,29.674262742763847,B,64.67660111224572,E,A,D,42.92000340356586,1
Widowed,D,D,116.28420815710618,B,102.54622851268935,-14.268623080091336,A,137.51316302215568,B,-50.905325169217384,-121.20620848926364,E,-49.018798450116705,B,A,A,-46.76098858113081,1
Divorced,A,A,6.517531487273296,B,131.5072914829098,-126.20244626834345,B,57.28841241168947,B,-5.633197069205717,1.611285357844269,E,-49.85424651961339,D,E,C,22.393799208738002,1
Widowed,B,D,-29.474091080621246,E,-236.7542024828346,36.586207984709674,B,-0.20759339681250977,D,43.09303379012306,-38.58615768891919,B,-38.85856099727378,D,D,A,-45.0232947089861,0
Widowed,B,E,-58.47725995831395,D,62.48410812030304,57.79509114110349,A,53.38542429304858,C,3.217552333043458,236.6335149819188,A,260.1343651385703,C,B,E,-85.30776965805977,0
Widowed,B,C,9.813097613421323,C,-64.75578885414123,-36.5405132803868,B,-92.56547616299876,D,42.05064830859103,168.2343611691975,B,86.59999136176828,A,D,A,-31.40310848914743,0
Single,A,B,74.41690630011676,D,-108.75532571725816,-163.289791123469,A,100.14453112683191,C,-6.774832078147726,39.80129637489548,C,147.90327970512885,C,D,A,122.11282229045737,0
Divorced,E,E,-66.31368294495957,E,-12.67246329198399,73.0495611602069,E,22.273451109978563,A,-44.10156646425123,-35.76456687239099,A,-24.417505877108862,B,E,C,68.38283278818001,1
Single,A,D,-71.59870113381837,D,-88.71634982300036,89.63660754209647,C,-54.76448185365543,D,28.14629528838406,55.881788407499485,A,57.48292756492176,A,A,E,-45.30711369641384,1
Divorced,A,D,-15.975495438107545,C,-38.64212134077742,59.854517693796296,A,154.75620216692843,B,-249.8083872995932,-57.811570238938245,A,-125.17217061632257,C,C,C,-97.5939902206807,0
Divorced,E,D,149.76626914349654,E,-152.92607713511413,47.553298718250595,E,9.447840077730408,D,-79.08970213408443,-50.041025584059206,E,18.36596915184645,C,B,E,-97.05816659493114,0
Widowed,E,C,-39.128501967455556,B,176.68294271623157,-136.85729551769035,D,20.648120134030236,D,10.165646311139659,289.6762806026851,E,-104.80189088413363,A,C,C,135.87363937226596,1
Divorced,B,B,65.12780437687532,E,102.79620870181019,81.16386311197617,C,68.6247723369056,E,291.7742823533258,63.43789180312687,E,-43.65250653653138,A,E,D,-52.37730975730371,0
Married,D,C,13.118008948699226,E,-58.94665883406059,-0.05236174984822779,E,3.61212647211175,B,-40.231399489813434,45.22073864861253,E,45.590559853627326,A,B,C,-1.9893008141110335,0
Single,E,C,-65.65084437315214,D,-130.88716529865778,92.11680270916641,B,-65.11149264338393,A,100.01829933892483,-31.018860863074977,A,44.597047331552595,C,E,E,168.00604197517035,1
