civil_status,AgeGroup,anos,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Married,65+,57,Non-Veteran,-60.6711435055789,131.6775082486253,29.181944685911542,59.175983661819565,B,122.35553149955064,-18.768768137426463,D,-94.59283311728218,0
Married,65+,36,Veteran,-9.603058994472624,-107.09882549651522,-20.682935555201734,-61.41792112902799,C,78.87237666061898,-60.21828082593614,C,80.03755946324083,0
Single,65+,52,Yes,80.13301872952793,-26.207675317923236,-104.54355277743481,92.24069876890331,B,114.6477431074651,7.657263619100564,D,82.67656414649282,1
Widowed,51-65,59,Non-Veteran,27.47662057858875,-15.042856307475061,-17.991899452744175,65.51773153595607,D,-247.43177894082925,-76.1655922380458,A,-17.27278981917209,1
Divorced,18-25,54,Non-Veteran,-14.668046308297033,-92.57525655624949,-12.209833228622621,-189.74736789050093,D,53.1293911897335,195.47035894889265,D,158.70267782520867,1
Divorced,18-25,32,Veteran,112.67217641452562,29.255980109491762,178.8670246006369,-16.844812796498093,A,12.748369693819555,-195.48797128211464,A,61.653373110365216,1
Widowed,51-65,67,Veteran,-91.6496522447358,121.08682356341865,119.17456459565076,167.39240604898436,D,-5.299024122858251,-178.71135924158062,E,-66.82821572777502,0
Married,65+,48,Yes,83.32443738449878,58.289711593371315,39.128031468598415,46.060119207789576,C,-50.92626483492304,255.33143513040275,D,-146.52656571183508,0
Married,51-65,63,Veteran,-123.86127772725726,-13.348038703421908,-60.05753090403273,-70.07797693098266,A,-136.7114269404201,-188.63359177327192,D,29.862747393773848,0
Divorced,36-50,72,Non-Veteran,-198.67170342312002,44.02976227694809,34.322934166087535,50.25283163430711,A,132.3976667760284,-106.43302931791092,C,22.383581523476,1
Single,18-25,28,Veteran,2.8834658069436028,-80.7578685672936,142.53628669451714,3.444819520236227,E,80.82138713187766,84.9336449276514,C,141.9569232755848,1
Divorced,18-25,77,Veteran,134.11845774896062,-50.155119610217035,-31.312338382229925,-258.57280200394854,E,114.50274280333934,-18.217874226835168,E,-89.45775978210287,1
Divorced,26-35,62,Veteran,61.18558742447805,231.83491366247918,182.08908784260086,-19.394469872818686,E,110.7450449990115,-12.26308349931344,D,172.9329281701646,0
Divorced,18-25,29,Yes,145.1273566840068,166.8017211051218,85.86508525051293,-2.2759391983557307,E,20.869384019807296,-0.022404171945748595,A,-121.54244555331002,1
Single,26-35,45,No,37.5823402894493,252.46040954936296,138.6157451428089,4.597622339519044,D,-57.6402025375404,-124.26630270539334,B,11.506565399018287,0
Divorced,36-50,27,Yes,-169.57329156158195,100.91402293784087,-64.49881556148118,200.1959326719013,D,28.012938850899666,21.68919598962298,B,-71.95867086626797,0
Widowed,65+,67,Veteran,-4.233211753010843,62.42601175330053,-55.67660777290705,-143.35005892442396,B,-9.022751477768868,37.120326473460366,C,77.15066101248765,1
Divorced,18-25,63,Non-Veteran,209.60190097616126,125.64316825969377,135.78456410700312,-239.37629554042292,B,-180.0269294084619,-42.24865229534645,B,39.88010539460654,0
Widowed,36-50,34,Non-Veteran,29.651691539632548,-34.19021110987524,30.001857694522478,43.037015280401526,A,-16.758507620994752,-42.73694126249037,D,-105.86228342067821,1
Widowed,26-35,37,Yes,-172.46776351074388,70.36739300023233,-59.36221884468122,-92.47820052579111,E,-86.88772507461701,-18.150562028246977,D,25.88909063892368,1
Married,36-50,49,Veteran,188.23831409574197,-15.014481231103327,-45.2778326867423,29.298145959055205,C,149.44862871010915,79.79194268759787,B,130.11253295212663,0
Single,18-25,42,No,-63.17375720905509,52.56433383062669,-24.4426287617864,-15.671636641873476,B,-9.26040356093491,-40.56535259308116,B,138.1831881040819,1
Widowed,51-65,22,Veteran,88.18532784373451,-31.835306162681494,260.56807711541336,-48.827282592592816,E,-2.1199589036882815,28.0351008372756,A,-98.71362149964324,1
Widowed,51-65,62,Yes,-94.6333185132032,-293.57836619799014,-4.246820479554262,156.58353710904564,D,-6.761429897532838,73.7994041910583,C,39.66968082155597,0
Married,26-35,59,No,-94.10035462704197,7.734448697128574,-34.663126734007285,155.68543586508767,E,51.11553573550724,-31.21154307827933,B,35.69182474053753,0
Widowed,26-35,77,Yes,-12.406070864373802,36.81576601554569,83.16879593965174,-49.24497205837496,C,86.39981827496547,88.27594413017562,D,86.98586853259866,1
Widowed,26-35,50,Veteran,-20.9577433762329,-70.26607150474426,-34.72128786486037,-11.181303039956223,B,-217.9229866080161,-201.9782997117344,E,-71.52346298981499,1
