Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Non-Veteran,-54.675259568848524,E,37.33366808893548,10.786805664514207,-4.703863566982419,C,-82.29815599398671,46.18530152665916,-114.91651689889153,C,B,B,E,E,0
Non-Veteran,-74.60650391026387,D,-116.98954856816628,-87.40896957815202,137.38616676328047,D,-6.436346651022114,21.548360007432386,-40.831502940051145,D,E,E,B,E,1
Non-Veteran,28.190055827977904,A,-112.64868403799146,-76.51889114907068,49.807812782957804,C,-177.19635095523867,-107.47804267189609,12.430481366616844,E,B,C,C,B,0
No,140.53383626958285,E,-69.18410435888546,-74.07929165318814,160.84419270078504,B,-77.6754924923297,68.16005593485919,73.53702769190379,E,C,D,B,A,1
Veteran,29.272974338046925,A,-77.27492849297715,-95.06861962145419,-105.37604256418473,B,14.898237404610384,1.8109603609829814,-137.04236552613702,C,A,E,A,D,1
No,10.30170995221492,C,105.72107714217584,4.988682379207267,22.862294847493835,D,-50.868366707576676,-69.39692886563765,-8.012534603823788,B,C,E,A,A,0
Non-Veteran,102.08156830496458,D,160.9166041547172,51.07961418072534,10.450285144106244,D,64.64064209360544,-70.71468715020433,100.31631038450823,B,A,C,C,B,0
No,53.941425216926135,A,-1.3080179059524033,-95.96946373146588,-13.988785989897787,B,-20.025340391245173,-26.460488601376102,133.09387813739315,A,D,E,E,B,0
Yes,-161.54343152266227,C,-54.39998932772077,-51.49873565217287,-43.98284794897846,A,-124.06424149699886,-35.11648427680048,-142.9455343023841,E,B,C,C,B,1
Veteran,84.08619137517732,D,60.47572163203366,-92.3377906306434,64.46602572546041,D,178.10847733591564,-83.91545178678666,-57.80500438703231,A,C,B,D,B,1
Non-Veteran,-45.151262119014355,A,2.7171135482303574,-6.14893468269378,161.13431944121007,A,0.25465146514512377,80.8456781210984,164.94299108617759,D,C,A,E,A,0
Yes,91.55513943600879,A,72.88531610545586,62.18800322747317,4.703075486405179,A,101.69876609657376,119.66094629156984,-66.3031004663025,A,A,C,A,A,1
Veteran,55.93772234587703,E,33.2448444519949,-77.44142257635669,43.22563581926146,C,16.80952818604055,206.03149222653187,-123.3334992901507,B,A,C,C,D,0
Yes,138.25279642055358,B,-115.22448091369799,-13.076922987543469,-51.2926684624729,E,-97.19179835048497,-8.666517873538053,72.00126251794623,A,A,E,C,E,0
No,189.85171676800178,D,-73.62183175341991,290.9438042977412,-75.04209992084331,C,-1.5698844034010218,63.72527915607036,176.59161830848814,E,C,E,D,B,1
Veteran,81.25888588125093,C,-61.79257203615247,220.64400672658314,146.35138718095575,C,-1.9087002935593507,-213.6007687838501,-90.66231271060842,A,D,B,E,A,0
Yes,-38.63546153225912,C,-65.07533803112048,-31.333045232568544,-86.51878279503731,E,99.25477321557744,-65.17118645031628,43.43098462777573,B,D,B,C,A,0
Non-Veteran,93.5629234962394,C,129.96826977693757,-48.72498046381508,91.24128881767614,A,187.72074940330972,181.8732212252227,95.60269713305988,B,D,A,A,E,1
Veteran,-76.88363643318814,E,53.44333891244438,-54.367605409561,13.268079054970663,B,214.4562567905025,-9.769896463833751,35.797906025401076,C,D,C,C,C,1
Non-Veteran,-6.658251822253994,A,66.10539871383698,18.0166760008344,-10.795441209368029,A,-76.03546659968525,-239.23359368310696,-17.496510218905424,B,C,C,A,B,1
No,55.063731926414036,B,171.16494650611446,-9.746854047449446,-33.26579002524204,D,-81.7200586460582,-147.3740072724708,-213.0178620684618,B,D,B,D,A,1
Veteran,-75.09735619391464,D,29.985863495650854,66.24635797580896,148.84455929025705,E,-28.40782295777226,-115.00652765720486,49.58259072682716,C,C,A,A,E,1
Veteran,50.30562572401968,A,104.49042942644984,-15.724598441487952,109.45083079205622,C,-25.455480713203087,-106.4922087743511,-132.39215012189348,D,B,B,C,D,1
Yes,23.552071168211818,E,108.66379510808544,-176.43612636291448,-128.43509255073562,A,-17.576143038854074,-147.13437018911998,-18.758698500516854,A,C,E,D,D,1
Veteran,-93.88947341310919,A,60.374588964910245,-92.722252593991,-48.07881965931406,E,-44.47157327072745,-114.05964691170523,82.81486457240229,C,A,B,A,A,0
Non-Veteran,245.2600891944645,D,7.74415016251139,112.9329688118529,-90.67264921789679,A,20.29909401793808,-41.17968060024149,-226.70106566294814,E,A,C,A,C,1
No,-79.51243477765932,B,-126.94223239643678,-96.59552000804736,-71.04261071712314,C,103.21941502301124,-50.51402992453223,147.1839976768234,E,E,B,C,B,1
Yes,15.792509365767268,D,-116.15985088974308,85.33704829824077,-71.06827715766062,C,-51.754742745927516,-120.14968971746404,-37.01002400372851,B,C,A,A,E,0
Veteran,149.2529428905814,C,-17.992396059215352,-179.27372756191048,-66.38105528020762,C,-49.28439608315281,-114.08472731137029,-123.01325907209315,E,B,A,D,D,1
Veteran,13.606713647344689,C,-48.18292524910146,-44.67027749754846,44.50993588402652,A,62.23788933510475,189.69988563299594,158.2245635249056,D,A,B,A,A,1
Non-Veteran,-66.14968881336097,C,26.62623189259992,-173.48271455323837,50.91354558654084,D,-10.207206533275814,-14.734225088743122,89.3600322753475,A,B,B,A,E,0
Veteran,97.04525998120998,A,-93.20074500031153,61.75380087676954,-37.72154467917075,B,21.047511522389193,-63.237047070430265,-88.1860661310087,A,E,A,B,B,1
Yes,-59.41612103000473,D,146.39448460693282,145.3430459899624,-46.36907902513349,A,20.0424469179176,6.55651918614974,-9.145390995799836,E,A,C,C,D,1
Yes,35.080322591750516,B,218.67918045167607,-123.52820445849653,-98.0937272729554,A,234.41597539939102,-20.378220287778994,179.82266580612776,B,B,A,C,B,0
