civil_status,genero,nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Widowed,Female,Brazil,B,E,201.86975481185607,19.750569907154407,69.16034578775356,-152.42909044253605,C,169.27339215694946,C,E,0
Single,Female,China,B,A,-12.134005753719439,-19.055273523574893,-181.445800148577,98.73902485529736,E,65.66553768923019,E,B,1
Married,Non-binary,Mexico,C,A,-44.48567945251283,-102.28451159832453,16.23373954850864,18.86761331452775,D,19.256115851165053,A,B,1
Married,F,Germany,A,E,-0.8606899826686689,109.94165233941354,-204.2439833354669,176.79414181033385,C,-147.81491612751063,A,D,0
Widowed,Female,Brazil,B,C,344.12024703882804,65.06947288870282,-15.464550695382842,51.77551954303253,D,60.3117658549866,B,E,1
Married,Male,UK,D,E,76.08824508864205,43.19028908024827,93.09459823299451,-162.6488095113383,C,-104.45379894783045,D,D,0
Married,Female,US,D,E,-207.87136050377052,-144.6342632256334,135.32459059415407,-99.20558970683973,B,88.72473567035843,C,A,1
Divorced,Non-binary,Germany,D,E,-106.17765580184546,225.849992791045,37.10891822104527,88.17017117992219,B,98.15612948635533,E,A,1
Married,Male,Brazil,B,A,88.00261952281839,18.28135944582223,109.98632809275853,109.89460313471066,B,-166.858749026202,B,D,1
Single,M,Germany,E,A,21.432734517087322,-145.0225707550504,-29.768119688014384,-86.05431356288963,D,-129.4659325949154,B,C,0
Single,M,US,D,A,253.2705189460664,65.6414252984437,42.54787799392064,-238.4668056837659,C,-82.279056049921,E,E,0
Widowed,Other,Mexico,B,A,89.11672038475726,127.7925923653633,-78.47676720390635,58.01389805882353,B,15.383654388979128,C,E,1
Divorced,Non-binary,UK,B,D,-31.529412503422865,-126.49613801984962,-109.13065544290959,124.57982367976261,B,88.58039964375631,C,B,0
Married,Other,China,B,D,121.3476088599029,-3.3106293152972803,79.16520856565855,-44.380628424995514,C,-151.63980443213129,D,E,1
Single,Female,US,B,D,95.67086241039638,-3.201233075339675,122.99184863937349,121.38708339585027,A,-59.944967574587594,E,B,0
Single,M,China,C,B,-15.707136446764252,-41.8652967234815,-93.71232964744057,41.11987877139418,E,14.753245137470417,D,E,1
Widowed,F,UK,C,B,6.790731920276303,-37.99312674316156,91.58875399907667,-127.20848539419165,B,156.71039181979555,A,C,1
Single,F,China,A,D,-12.440567297703131,14.239104357817393,36.19262178440433,36.47458215373896,C,25.36350287681504,A,C,1
Divorced,Other,US,B,D,-205.84931031024766,-20.431616261685733,-79.76511238291758,80.65703208751808,B,-242.08864881293675,D,B,0
Single,F,Germany,C,A,73.0399318942214,-111.88108321410412,-89.15190763056101,-146.10343954885644,C,156.64553796579602,B,E,0
Widowed,M,Brazil,B,A,-90.58912111674462,-75.17216528109914,-55.05672282583033,-127.49461694851934,A,271.8889168405005,D,B,0
Widowed,Female,Germany,E,B,216.33405774122002,-104.33909373643924,120.89987791802557,129.2656761359101,C,47.33568253351714,D,E,1
Married,Female,Other,D,E,-108.0504742543577,-37.83120709679301,-102.99149660080708,-65.57958362886154,D,56.258215136698375,A,C,0
Married,Female,Brazil,A,D,-153.38666470176895,-78.11156218780489,82.85480913646352,-0.7570231506582875,A,43.82569256141772,B,E,0
Divorced,Non-binary,UK,A,A,-5.075326131156912,-38.68789249033391,-120.95459815091895,-51.747363534960854,D,227.54644118685644,E,C,1
Single,F,Germany,E,A,59.20922080609188,29.25625774477857,117.37913492760742,29.454902557795798,E,72.39998221309546,B,C,1
Married,M,India,B,B,9.981421813620312,-83.44493072581905,-147.7367350159125,27.949748782723262,E,276.73473000525263,A,B,1
Divorced,Female,Germany,B,E,-20.659340654930226,-99.97029952478262,13.39754149871223,78.46819518696172,D,91.86154593965409,A,C,1
Divorced,Other,US,A,B,-136.20034913110848,-129.02850576216017,-42.9352279495377,103.88065504145874,E,3.983735385007883,E,A,1
Single,Other,India,C,D,30.525038814438332,-92.71897949021871,-2.504618176334992,1.6846313483474662,A,165.888272331628,D,B,0
Widowed,M,Brazil,C,D,-27.45802467418514,-66.44430784109126,1.1480320716963328,-48.78954487881578,B,13.650198902663412,A,D,1
Married,Non-binary,Mexico,B,A,35.07630031978173,-34.91255844992292,-77.8661946096988,125.51942703198947,E,-224.64289745907226,A,D,0
Single,Other,India,B,E,86.79617156568163,-57.96231797036964,-31.676430926209388,160.6703006076668,D,71.99151718761088,E,C,0
Single,M,China,B,E,173.33565318854247,-48.27452997881169,-72.09776557838332,-264.74140540474696,A,62.257253986739336,A,C,0
Widowed,Non-binary,Germany,D,D,53.71037376088139,-21.28620962657493,0.40083686105310096,-99.67888367225089,A,86.57910855576529,D,D,1
Single,Male,Mexico,E,E,201.15453241739675,-0.3943129099510203,-72.82063315082307,-33.69378562351116,D,67.64966203135326,C,E,1
Single,Non-binary,Mexico,C,B,-140.0665955578248,141.80189739727845,70.26136403945442,-14.997005333063598,B,-312.74297848582904,E,C,0
Widowed,Male,Mexico,C,A,40.6095185592001,-108.55034549757723,-57.55990277705793,114.70189603414906,E,-158.40101965212145,A,D,0
Married,Non-binary,Mexico,D,B,-241.48459035809543,-100.67074041607434,26.75768100511625,-2.3590587624879293,E,104.09930118917863,C,C,1
Married,M,Other,A,D,110.60528830640138,-125.79747579276051,88.2715022715958,-27.237466956171087,E,90.96427085035891,B,E,0
Single,Non-binary,Germany,D,A,-27.862036284921487,71.31463491044218,71.12820018252786,134.71578541036033,E,46.513276621752404,C,B,1
Widowed,F,UK,A,B,20.185108757871532,-63.58697790613348,-25.530996594465854,-1.8169766229667816,B,-55.319471765465266,B,B,1
Single,Female,UK,C,D,-33.44917544570952,226.52562176424306,96.14800736520121,104.38871320720753,E,5.333005963542255,E,C,0
Divorced,F,Mexico,C,C,-59.099873659378474,104.34084645178163,57.38334650374589,14.943022552459373,B,-22.963910633240157,E,E,1
Widowed,M,India,E,B,64.48762098745804,158.5887694701836,116.82556495282034,85.10162147721648,B,-164.63862337424533,A,B,1
Divorced,Male,UK,C,E,-15.819420109744964,-259.48124738342216,89.69411422878241,-14.980041077980886,D,-101.27532722772166,A,B,0
Married,M,US,E,D,128.13090474445383,-89.77433527901087,-253.8252323115341,-81.4067118684478,D,-21.695277785937105,C,D,1
Married,M,India,A,A,139.9796890632853,166.00660391807597,78.24179547847653,147.51267180127584,B,50.96006149743055,C,E,1
Single,Female,India,D,B,41.58882544972326,171.1245248716506,-149.72342475981856,-54.16510794202609,B,115.91519121339347,A,D,0
Divorced,M,US,A,A,-7.3806155822712345,137.2483308782903,-79.65928154289801,-104.6586628166921,C,139.05031516430424,C,B,1
Divorced,Other,Brazil,B,E,-28.782087514775956,-3.3574633700481504,70.58267144778824,-4.387727381917558,B,-12.094089870679438,A,A,0
Widowed,Other,China,B,B,-73.33395575333884,17.670519675634537,75.54145354475718,-31.136641913975144,A,56.66357788450765,E,D,1
Divorced,M,Germany,A,E,44.82522940277391,-50.16735981096825,-66.66833831318166,-39.57628748424176,E,111.0449906562413,D,C,1
Divorced,Female,Other,B,C,55.01702193440605,-155.68299621356755,-85.73060426252182,130.61219685571075,A,18.33616532094685,B,E,0
Divorced,Other,US,C,E,66.17404376816712,-91.65166875032102,-45.38493020723486,-99.00576781025273,D,62.747391385688104,D,A,0
Divorced,M,Other,C,E,19.989377750630645,-177.13892012698838,-51.093172166915835,-45.89801978484236,E,74.13498700777687,B,A,1
Widowed,Other,Brazil,B,C,-1.155767538666,150.52547350618914,32.22644501590266,-140.52087230029716,B,11.803728007088736,C,D,0
Widowed,Non-binary,China,D,B,98.82722499707157,7.2862113300064815,153.52005014627807,0.08165884630282559,C,8.908143294148122,E,A,0
Divorced,Non-binary,US,B,D,-216.38084096624834,104.91448025715016,-9.826100558879638,71.71460184751372,A,-105.1807212879648,E,C,0
Divorced,F,US,C,A,42.310936911756016,148.34154232787634,-17.03309494886002,-42.012038531857364,E,44.441524532517576,C,D,1
Divorced,Other,Other,B,E,96.98480595885746,-71.132511342506,-6.6366112416693674,-88.37863159929265,C,-6.762808054413661,C,E,1
Single,Female,UK,C,D,-54.22571684515757,-77.5799421167318,-29.786046649202717,-68.41204425525224,C,145.00372353613255,B,C,1
Divorced,F,Other,D,D,-104.92668124971527,-35.46717317877501,127.57770432687778,-111.32745247299573,D,-20.818002391679762,A,D,1
Married,Non-binary,China,E,E,32.73041628048783,133.25690751277764,4.874878463616489,107.51895927170439,C,27.434614490595756,D,A,1
Widowed,Non-binary,UK,B,A,29.33668624469636,-76.61689442713818,110.50066131168803,-88.52062777483607,A,-50.341863582032175,C,D,1
Widowed,F,India,E,E,64.96176546133883,-28.86972953397225,-203.69202930900784,-64.79331680470894,C,-279.6628248328335,B,C,1
Divorced,Other,UK,D,C,-46.12652355380138,3.8380156125235807,-22.322012957201373,132.9245292406295,C,156.57473013107105,C,D,0
Single,Other,India,D,D,-133.2379201791298,-53.85823979717802,-110.41328680537634,103.53700077604371,D,-39.07938041831116,E,D,0
Married,M,Germany,A,B,143.28401209059464,174.99316470030624,-15.660148887507683,208.1910824511826,D,-76.23031942982593,D,E,0
Married,F,Mexico,E,A,78.80171608365607,-105.34167883765768,85.11580301355318,8.171340600705369,A,22.56381414731529,C,C,1
Married,M,Germany,B,B,-77.79035315826147,-35.18136144818848,69.44655430769708,96.63500588646127,D,-1.62748604017026,D,C,1
Widowed,Other,India,C,B,247.04332053686286,64.86879428360821,-71.26745443133258,-104.67228633454442,B,49.245238938149036,A,B,1
Single,Non-binary,India,B,D,-52.3708236419547,105.89613626083163,-6.298090968340787,70.10266446064355,B,113.5911945842996,B,C,1
Single,Female,China,A,B,56.11306367941783,-126.32366181366027,-69.0975290260645,-55.787031571834774,B,73.34843335670243,A,B,0
Divorced,Female,Brazil,E,E,-59.07365290905392,-90.36056676933293,-106.85394269289985,-23.394680520692916,B,23.181828220271967,B,C,1
Single,F,Germany,D,B,-41.58621577383426,124.00450796517978,180.21607948005877,36.90155184130076,D,32.433735947604866,C,D,0
Divorced,Female,Mexico,C,A,6.152235224988859,-172.36697354069247,97.4698748619292,89.76384983372247,B,303.8962301664787,B,D,1
Widowed,Female,UK,A,E,37.630349521434724,65.27461598291353,-149.27290316709133,28.27605253239673,B,-32.26151756265419,B,E,0
Single,Male,Germany,D,E,44.95692868740295,65.89957738438767,-59.863897700052334,-69.89988218555033,D,-77.74828370316776,C,E,1
Divorced,Other,China,E,C,-172.49165861375107,-57.25060948903803,-69.63419842621033,120.00116993302257,D,207.4111475853368,C,B,0
Married,Non-binary,Brazil,B,D,-126.33469949863986,-103.82020430767494,23.287713241151224,-139.5295310584013,E,-100.35942175325678,E,C,1
Single,M,UK,E,D,5.020630997021626,104.2996882588703,107.04082103966192,111.04876559130442,A,18.156126699699733,B,E,1
