ethnicity,nationality,handicap,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Hispanic,India,Physical,Single,19.04477984361474,61.590654506376666,A,C,B,23.142171627660154,-166.13772774814834,116.78191614043499,26.59483907152172,25.545233211512052,98.28551398689113,35.853990691065995,116.75410806049882,-40.45760107540507,5.028170906967227,-23.831668789662686,E,A,0
White,UK,Both,Widowed,-5.165951564703838,-80.89806100003388,E,E,B,-6.108431967701777,79.82880868363867,-132.43198335705364,-166.32585933880708,68.43247978026771,-60.070575587431975,-47.47544091853918,-95.23957126285245,-57.95491570546252,-182.9784027071062,-71.8319937257288,C,B,0
African American,UK,Yes,Widowed,144.04418371851654,-101.18095850385258,D,E,D,-89.7521403596148,75.91626579852057,-8.969234980683538,47.51460699103254,40.24739700848798,74.00248379205621,21.794647595075446,167.30554524913927,60.47224956668197,-89.78330959418443,83.65698279150891,E,E,0
Asian,US,Physical,Widowed,-196.4930068222907,-167.6131247073653,B,B,D,96.26682934923124,-45.4487089465646,196.27659670645585,-30.035045013246293,29.4384342946961,-94.2053166320921,86.75958186160365,19.054608981473876,-128.70104728119816,-59.81228925216523,153.1659471610201,D,D,1
Other,Brazil,Physical,Divorced,42.8664398604769,185.47742854617218,E,C,C,69.63460239001242,231.36154565247304,37.81028341313472,-36.671761225071194,67.41138218768566,-14.689520856944505,-95.56575771061456,-87.3651816523895,-104.61859064333908,-86.30897445188457,-68.62075011840864,E,A,0
African American,US,Mental,Widowed,1.9018366999540188,-21.995727608558525,D,E,A,-77.66241519535487,2.4476398734368066,77.31018353646888,-6.816591415453701,-42.29485153707528,-113.03589709215855,28.799979019142484,37.138241075247066,21.879701855125013,-16.899310045061213,95.49307130711782,E,A,0
Other,India,Yes,Divorced,-138.9289570111092,26.835207613699342,D,D,C,23.049902687435686,75.68495059712478,-77.65751141710942,169.86485957005303,-61.86893669791904,15.170595936806135,51.29678053857019,-6.78363617319296,100.35820918146328,105.55104940999999,-268.31618676457174,E,C,0
Hispanic,US,No,Divorced,186.49226223322955,-238.6201866237898,E,B,C,-77.67422663526024,-105.56624272170163,108.75064469977531,-4.571815647505745,-130.3872534851156,7.576107295369987,-28.408264382902086,-23.918130911310396,201.19209352125043,-155.73472481590593,47.90687970161262,E,C,1
African American,China,Both,Widowed,-35.30979370562747,-36.55864524013062,E,B,D,55.893214705377844,-124.60740944936258,-48.28646706562264,-74.15548639719132,-48.95748975102357,110.32132911404008,-27.63957707854204,91.04401785528367,-58.23417208217081,-11.442881819539327,64.15718826846211,B,D,0
Black,Mexico,None,Divorced,-173.22684431699125,62.135505891639596,C,C,A,-70.7423562484508,125.58919360405947,-23.94060388756477,126.4884049351034,-14.730739416650263,94.39994043032607,-2.2243947437492877,122.30617451836461,141.92387699920678,113.69550190143217,4.603239879949952,C,B,1
White,China,None,Single,-139.84830244026983,78.8250733658076,C,B,C,-83.16736425244835,-103.80159969552139,72.24653088211357,-19.61422102201147,92.01076795559257,-114.8347547089983,24.42140484192227,121.45231192903663,13.768040681784868,-6.326157522996298,98.4759949778086,D,E,0
African American,China,Both,Single,123.38109594887523,-46.50452376347567,C,C,D,69.63940067091752,1.0010435560415576,-161.15233215910393,20.45458355584553,201.76361312664693,220.4539321974473,-117.84712772735482,-93.76140331051923,-61.69040279295148,-20.222565774819493,6.235712355425646,D,D,0
African American,Other,Both,Divorced,-32.08652958606739,63.66383026447101,C,D,E,-38.48479969819815,277.1951130952158,-60.9706952653846,-15.891863597495185,20.99557308141344,105.62172767729503,-82.10519466109645,129.39209113068767,6.327918822653558,96.82493807139977,-85.88598902983414,B,B,1
Asian,India,Physical,Widowed,31.73582185826073,-159.3817771714778,B,D,D,-57.368929661071064,-165.17330451756345,-25.829148327615016,-19.856110592307537,-122.96455908225703,105.14234115449916,175.0100347061635,-50.74321053487696,-58.90814740210253,97.14996033509162,-30.709011813659608,D,C,0
White,Mexico,Both,Married,-140.8678471429193,-93.24220755437086,E,B,D,-125.6942416876881,-169.95769830967274,137.0232731091257,47.734967323873896,25.242749342715115,-74.90702374663685,91.66984243813461,34.62502475785521,282.21751956317746,25.688771318015917,34.43101740443454,C,B,1
Black,China,None,Widowed,8.070558470732278,-91.61934170051185,E,B,D,-61.950386909785784,-111.00671171777871,-152.11932741227542,88.61059947034204,-220.79872528798242,-56.830076817110964,-40.87961303235076,-55.15171824060177,-95.95502513072364,-26.084842196545903,92.98026991939582,B,B,1
White,UK,Yes,Single,93.88118814774306,50.368553710184706,E,E,A,-60.23619163480923,-1.3570782441328462,55.728431781160424,-23.685880379897494,-28.233373939939767,6.599245181456073,135.0202993952247,-2.858443075630638,1.7560321817847697,-116.00296143668902,186.91350017180403,E,D,1
Black,Mexico,Physical,Married,-103.39902247680048,148.14485207243553,E,D,B,152.25332772149693,105.70706413921525,30.03251093337135,-0.46435872385212085,123.68456125958973,4.058889514852955,162.5944194614155,-49.9758784466235,-1.3584764567582372,-78.0262973690025,-95.7921943320261,B,C,0
Black,China,Both,Divorced,-62.49415477335302,-19.882344767636372,B,A,D,28.747302265986992,63.932002676037825,-29.6380613202839,71.9528932167517,-43.052586495745075,62.082081771227294,123.0643601720033,75.04295141293443,-61.666869450608395,40.81492941526065,18.516788639681774,C,B,1
Asian,Germany,None,Divorced,-26.862672787494834,-17.102598944103786,E,B,D,-31.483954718928896,-159.90405715769762,20.649912259711435,-0.7293608818293494,-25.490742088737495,177.13253640502415,133.01687165844612,34.73219107624635,-53.09218950384738,-117.08708170183245,100.17515063314096,D,C,1
Hispanic,Other,Both,Single,-121.08369839233595,21.722132648273647,B,D,C,-195.71991736825993,-87.48210353969019,229.37945946301497,119.29886715021792,-128.9847760890851,-35.47236089519758,-144.61837855307272,-31.427875818638164,-42.13407590216427,-0.4129758350856559,-84.84648338775175,E,D,1
