nation,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Brazil,Other,-64.46864640488918,E,C,-3.538127075070251,65.77717861306125,-158.69810751935327,B,E,12.994182314505071,B,-108.6689194570408,B,0
India,Christian,44.429540218528665,C,D,-40.51318423137533,140.44027407751392,-60.95726268352698,E,A,180.72735237442066,A,-7.668144800156738,E,1
Other,None,-23.55015861324453,C,C,168.70194480478554,-58.57787110443004,-16.715356228594082,B,D,-133.92403219407294,D,-49.272569335431925,B,0
Other,Hindu,-98.77169250369757,B,A,-35.524016909313474,206.2986115765514,-96.79872837484731,B,D,110.95085715643584,E,199.86001424858358,C,0
Brazil,None,179.48322559594726,D,B,-37.58867241689432,17.872900846959343,139.96273717694078,A,B,89.83904585572688,E,-102.91021640983058,E,1
China,Hindu,89.19430265153633,C,A,147.38653535541698,-76.58743856747205,-145.75365561013325,D,B,79.29055855446894,A,-98.72805108138681,B,0
UK,Buddhist,37.331823237905695,D,A,-60.689903904942376,46.44447361161648,185.2511720456483,D,D,-72.36298067334029,A,-139.574998251608,B,0
Brazil,None,10.787478308681665,E,B,-4.567900516171833,96.00457933808148,15.439554114839114,C,B,-12.352693468548173,E,36.480070051317846,B,0
Brazil,Other,164.0188538617546,C,C,54.94519649627565,-169.49122799189135,128.6595511967606,E,C,-59.5459013784321,A,91.54915781264312,C,0
UK,Jewish,59.51931333928033,E,D,61.551682776974914,-92.5434892785144,-106.32296904556378,E,D,33.019671139506464,A,-68.21887601214615,E,1
UK,Buddhist,-134.8278085924213,A,B,-15.516402349537664,-236.5676648018946,-178.10579166141954,B,A,-57.28019708038586,D,229.7157154430193,D,0
Germany,None,5.949955216953936,A,A,163.1603404743303,39.978089749663894,157.32122485302767,E,A,27.782316899551308,C,57.557455543449365,E,0
UK,Hindu,24.153473505893235,A,D,56.85365273300368,17.79702375822247,94.06063114329221,D,C,-55.33179606592377,D,66.10090916698373,E,0
US,None,-141.40066151688762,C,A,55.72348707361214,45.426296787765175,173.28387473628226,C,A,-2.334482786394322,C,-50.84644402726369,A,1
Mexico,None,-29.23904054323539,E,B,90.21063933048129,-26.75061237953507,-76.79200973629523,C,D,1.2058779156287647,A,-36.97068291545699,B,0
US,Other,127.42898611636271,B,A,69.60258254421304,27.5480147195965,64.99889818865701,A,A,-63.38314675495895,B,-58.00752069806524,A,0
