RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Black,87.81459897155622,166.5601854938884,A,D,-37.127739116801806,A,-127.09645566488139,B,A,C,C,-159.16259062374755,14.92404568430703,D,-189.04057580498593,C,9.875050592996466,C,0
Black,13.83296135116224,21.371157284476304,E,D,121.84347931370283,D,-137.39019514850858,C,B,D,B,29.62747150442092,168.1800520251275,E,220.40205868907745,C,158.6009477326812,C,0
Other,-80.2973689309825,-115.25397454581052,E,C,-65.71770979812128,A,77.39087621333141,E,B,B,C,-237.29954732627849,122.92218706134858,D,58.979945704228356,A,-48.076448348894566,B,1
Asian,133.9774993636032,-126.04929027286028,A,E,-95.88328962580418,C,-5.805547853480024,E,D,A,E,57.755536165070055,145.24882908432403,A,-19.031382146807907,B,-167.86714635089078,E,1
Hispanic,10.93541423498425,-1.071938577504599,C,B,44.01272632095574,C,-9.551005647348392,E,E,D,D,99.46752998262014,-68.57079417384972,C,54.305905456907155,D,63.45355585517639,E,0
Other,-29.171682605069265,145.32303916941086,A,E,52.62670771987502,E,-150.78185455398975,E,D,E,B,-75.04083867151955,142.59733956886936,E,15.396206412522837,E,-93.25782812062181,E,0
Other,53.141106747590136,-0.2306451842931212,A,E,173.7868462104356,A,-61.13250219649123,C,B,C,B,67.17380329208414,-34.45231644054009,A,53.29473877700828,A,56.81962026673487,D,0
Other,-95.98959050842272,-151.78360860922078,B,A,-0.8963208299146603,E,-259.2898522046549,A,E,A,B,190.34011465722014,-278.3808244474935,A,-63.38173277972952,A,-271.57882886117,C,1
Black,148.20546111687557,-93.9401267825651,A,E,66.17854028101998,C,-83.26559822115591,C,B,C,A,13.439121939849025,66.6815452956127,C,-33.26089721918948,B,-46.77657023809026,C,0
Black,-77.43642420585137,125.29110727697741,E,C,2.3083474930619317,C,-8.686544599497708,D,A,D,D,48.32463032650251,-164.69902084901213,E,-92.45721454962072,E,114.63928681175959,B,0
Hispanic,76.92753245661528,96.54614086867774,C,D,-91.96491043577043,B,25.62177286447975,B,E,E,A,35.775077315801305,-197.77142072737394,C,-3.9926265498198785,E,30.22857571767674,E,0
African American,188.1351750598866,80.43451238907747,E,E,-159.13768689649467,D,-213.1215165477057,B,D,D,C,15.399010820915091,-214.1825553635323,C,102.23548729557359,B,-121.92710539412579,E,0
African American,-73.19241525538645,-98.85010561335153,B,D,32.31809207371809,A,-94.24523456527082,B,D,D,B,-177.35380440831855,336.2034857778771,B,-6.864923800325089,E,264.7708393819578,B,0
Asian,126.16731700988342,-112.08795659997209,E,B,-82.6118557340462,D,-72.78632163606663,A,A,D,D,38.077865304266226,31.220206069991164,B,-62.91981807167119,E,23.892811618634216,A,0
Asian,72.45711701097703,-99.51376138262998,B,C,-38.17662864370754,B,164.69278049194176,A,B,E,C,131.96205024849374,31.317456504230158,D,0.5254705875718316,D,-9.26573877789893,C,0
Hispanic,-4.758724104399424,-49.942154889435706,C,C,-163.5069860431975,C,152.85218712394814,D,B,B,A,-47.02023931213098,122.02697715650326,E,-29.008035558230926,D,0.8167379261185495,D,1
Hispanic,-91.79558778667284,-37.20624406746935,E,C,93.49797338694704,C,83.10537354738919,A,D,E,A,156.85345836813752,-191.63281768009554,E,129.0548898509521,B,113.75976546422002,A,0
Black,96.15124506844722,-227.68957464430306,E,A,47.42237505101559,D,-46.019971323296375,C,B,D,E,27.751440120620163,25.12213693854955,E,-137.25369750152313,B,110.66797751034909,C,0
Other,-108.07265325188531,42.79404907511524,E,D,54.57565056210672,E,25.12587948805642,C,A,C,E,28.4351330904567,25.079785656771104,D,84.96086677025416,A,-107.82968483756774,D,1
Black,96.35757590838581,53.73488900034218,E,C,-104.80096356197346,A,-140.32188200191513,A,D,B,B,54.56492133629198,-85.0460542476201,D,-101.12611856392344,C,-73.46165541252702,B,0
Black,54.84609913769556,-95.5442296279426,E,B,-36.46569524819363,D,48.53898697795338,E,E,B,C,-15.037469378960541,42.595804072809415,A,-98.04670708167585,E,10.154690298752666,D,0
Black,104.36255750961561,52.083632968662286,C,D,-125.88742732901753,C,-30.44316603213762,E,A,C,E,-38.3064309737,-16.98596093887973,E,27.39247224554613,E,-30.083661652476536,A,1
White,49.684804735721244,85.07503282259742,B,E,61.031057843577955,E,240.3188708850419,B,D,E,C,-53.51281994581478,-105.70574897895509,A,156.09654653315295,C,30.3698992081448,D,0
Hispanic,56.47308478117833,-58.12216679418757,D,C,-66.93679838783115,A,156.4497570159991,E,E,D,D,73.05821427126814,-4.140289675422123,E,58.688324308008845,D,79.4362468419216,E,0
Asian,-40.38344482773593,73.40948851178285,D,E,-12.613330163732275,B,-38.05993055560617,D,D,E,D,-75.8521288953737,-93.43006851692718,C,164.07477873339943,E,-86.11935484197313,A,1
Hispanic,117.86609889321377,78.043652660945,E,E,-72.58028181788477,C,-3.427817394897507,B,E,E,B,119.44132101974702,-13.399988256967521,C,59.80953372198521,D,41.60815000725296,E,1
