anos,age_range,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
29,51-65,None,C,B,E,-31.09976158247959,7.637599821741582,A,0
20,51-65,Both,A,E,D,-50.8088311002749,165.82381410442508,D,1
54,65+,Yes,A,A,C,139.22371936145353,-80.88108252214431,E,0
79,36-50,Yes,E,E,E,189.23453696234318,77.82200584435097,C,0
56,36-50,No,E,B,D,-48.73945946511188,-104.3783212823158,A,0
80,36-50,Mental,A,A,A,-9.147024760416835,169.0385307585258,A,1
69,26-35,Mental,A,A,B,84.21286557593112,62.784378678236585,C,1
87,51-65,Both,E,B,C,-55.90051044707559,33.086072922366775,E,1
18,26-35,Both,D,D,E,-38.3370664138301,49.20021847416213,C,1
84,18-25,None,A,A,D,81.91628091988457,-92.87651364164513,B,0
30,51-65,None,A,E,C,-138.74163855420082,20.913304145651885,E,1
29,26-35,None,C,A,E,-115.2184408418951,62.509613276305146,C,1
33,18-25,No,C,A,C,-48.42749195319583,-36.622811453097995,B,0
83,65+,Both,A,B,E,43.579150558131836,22.674818158841767,C,1
31,36-50,Both,E,C,C,-45.688606424101174,-12.079873242551004,E,1
33,26-35,No,B,B,B,-72.92685779000327,-84.21484121055761,D,1
20,51-65,No,C,E,E,80.6513181570988,-113.97113393905953,A,1
24,18-25,Physical,B,C,B,-180.49876182614452,-204.70302393440724,B,1
87,65+,None,A,E,D,-91.91623641192011,-73.97732730420365,B,0
78,51-65,Yes,E,E,E,-146.14917855780604,114.89695978270618,D,1
48,18-25,No,E,D,D,-73.69400041709899,84.66604061264493,A,1
46,51-65,No,C,D,E,75.35596561949835,-9.382655718661459,B,0
98,51-65,Both,D,C,D,52.1843952790295,-90.70279291616666,D,0
98,36-50,Mental,B,C,D,53.84844675507853,0.6858816664191187,B,1
66,18-25,Physical,D,E,B,-119.33289625035137,-34.188935508392085,A,0
59,26-35,Physical,D,E,E,66.77468317081653,-13.978350538780818,D,1
44,36-50,Mental,B,E,A,-197.27334900840006,-82.28144179207506,A,1
71,51-65,No,D,B,D,2.044029742124344,-98.00297150094426,D,1
44,26-35,Yes,A,D,A,-67.22880849056546,56.49321472086216,B,1
24,65+,Both,E,C,B,82.40272918957648,-178.59940225657064,A,1
75,51-65,None,A,B,B,-36.0753991359732,-49.9640899036707,B,1
36,65+,No,D,B,A,21.466671008954698,-70.75562351334874,B,0
20,65+,Physical,A,B,C,52.24645181924574,-230.07564242588487,B,0
20,18-25,Both,B,E,C,12.94281385790729,1.8766453342582374,E,1
37,26-35,Yes,C,B,D,130.37236001763614,-69.19934338057735,E,1
35,18-25,Mental,E,A,A,-170.75643308196786,-16.16586435841675,A,0
22,18-25,Both,A,E,C,49.659710363737396,-17.249698905688078,C,0
20,18-25,Yes,C,B,D,114.98930752938993,73.65078107712145,A,1
90,65+,Yes,D,B,E,105.69899424281775,-51.638027782620014,D,0
64,51-65,Mental,E,A,D,43.522280490742425,4.87662851907284,A,1
53,65+,None,A,C,D,-78.80818625891568,23.964166672765934,C,1
48,26-35,Mental,D,E,C,158.77482669700805,-190.90703037338776,C,1
88,36-50,Mental,B,B,D,-94.57308927692269,-132.43451907350612,D,0
51,51-65,Physical,D,E,B,71.51062910153341,72.48553433893026,E,1
52,18-25,Mental,E,B,E,-25.294270144053588,1.1203351347668824,E,1
76,18-25,Both,B,C,C,-78.20715455800209,2.1824436794276885,D,0
64,65+,None,C,B,D,-58.72113995286203,-113.10849108034525,A,0
99,65+,Mental,C,D,B,27.59648074464463,16.09946831102262,A,1
72,18-25,Physical,B,A,E,-51.952934008917076,-84.50102087432813,B,0
74,36-50,Physical,A,A,B,-63.84290862217611,-131.10936195006937,A,1
66,26-35,Physical,C,A,D,-49.21725094508187,-46.459622943150606,D,1
59,26-35,No,D,A,A,-166.98106148817965,51.99082353947032,D,0
90,51-65,Yes,C,A,C,-146.19986480173753,-53.48617395923026,C,0
92,51-65,Mental,E,B,A,1.001664841167942,-55.448640702629845,C,0
72,36-50,Physical,B,A,B,-76.29495307436383,-79.39444943684639,B,0
24,18-25,Both,E,D,A,128.77547191586788,-155.3380022618805,D,0
63,18-25,No,A,D,C,24.63299798893417,184.30568489885817,A,1
72,26-35,Physical,D,C,D,-92.98902433903267,-139.60766465311326,B,0
89,26-35,Both,D,B,B,-67.35862674031075,-94.1840831766086,E,0
22,65+,Mental,B,E,E,225.5246589465249,-112.89989491898267,E,0
85,36-50,Physical,E,C,E,28.142697269188982,-140.29171577220973,A,1
23,26-35,Both,C,E,A,124.17306210716887,74.88756550005387,A,0
24,36-50,No,B,D,B,12.42319859201494,-31.36509326642259,B,1
63,65+,Yes,C,D,D,154.35359187596885,-88.45298236350403,E,1
77,36-50,Both,E,A,D,144.4788694699068,37.93857569694213,B,1
68,26-35,Both,E,B,B,20.602013881804346,-140.54632195292135,A,1
56,51-65,Yes,D,C,E,25.205836160961532,-0.25855612588049126,C,1
57,36-50,Yes,E,B,C,55.61133130289618,-21.419729506538452,E,0
98,18-25,None,A,A,C,74.28687716700604,-200.67771045339788,B,0
34,51-65,Both,E,D,B,59.48200983252452,-110.42052760685954,A,1
30,65+,No,E,C,A,-42.67953305176495,53.0151810875806,E,1
97,51-65,Both,A,B,B,197.37196503900768,-6.3895624262026525,D,0
82,36-50,Physical,A,D,C,-53.29642863418912,-226.89186258505364,C,0
20,26-35,Both,B,E,B,19.080673155404288,18.575857391714845,A,0
66,65+,Both,E,A,C,2.8366636118769604,-120.73795190541875,A,1
52,51-65,No,D,E,E,175.42539087124618,185.28807593285933,E,1
65,18-25,No,E,C,D,10.887661449202888,26.324275835206983,E,0
98,36-50,Physical,C,B,A,77.59161289360716,-95.1963274903589,C,0
43,18-25,Mental,A,E,B,-102.08157351811063,95.55773286236615,B,1
25,18-25,Yes,D,D,D,-46.94284965376501,171.43867082714627,E,1
95,65+,Both,B,D,B,35.14648225050286,-219.5652902552149,C,0
25,36-50,Both,E,E,A,-264.97926524021705,48.87982385223646,C,1
67,36-50,Physical,C,C,A,0.17173649935957122,-76.85416712951177,E,0
63,51-65,Yes,A,A,C,15.481507116638088,80.54586097990769,A,1
88,65+,Both,B,A,B,117.62457063657867,-34.79323811242668,E,0
89,26-35,Physical,D,A,A,-112.60572564739088,137.70544188587422,C,0
42,26-35,Mental,A,B,C,-76.5170425649131,-20.43812654883003,D,1
94,51-65,Mental,C,E,C,-44.497898326872104,-4.221137180771337,E,1
74,36-50,No,A,D,C,-86.35426085850455,6.266660345570757,E,0
42,18-25,None,D,A,B,-142.83713944571556,41.30690582325531,C,1
22,36-50,Both,B,E,A,-211.35859241898623,-154.26955330698212,B,1
59,18-25,None,E,B,C,13.622010963619866,193.0752612569669,B,1
50,26-35,Both,B,D,D,67.0505983082031,-101.06472826835984,A,1
99,18-25,Physical,A,E,B,149.29529754282024,-46.32855379558307,A,1
46,51-65,Physical,C,E,D,179.30481307638686,81.52809129344456,C,1
62,18-25,Physical,B,B,B,-102.56621094805428,-69.10522804647714,C,1
51,51-65,Yes,A,A,A,193.30962120507243,53.953010834572446,C,1
48,26-35,Physical,D,C,E,-16.863705620886574,34.83687623443179,C,0
99,51-65,Mental,B,B,D,-59.848124510123746,-20.060016507799773,D,1
51,26-35,None,C,B,D,-69.52196812458166,-53.815827732824275,C,1
60,36-50,None,E,B,D,-106.25539335145888,-135.54798549751177,D,0
73,51-65,No,D,C,D,-84.56079846766863,163.72673441240815,D,0
25,36-50,No,E,B,E,26.560767761663033,-160.87240470800464,E,1
20,65+,Mental,E,A,B,41.03602757243225,-19.684421398661993,D,1
87,36-50,Both,E,E,A,-60.22105125150533,91.20310653731681,C,1
76,26-35,Mental,A,C,E,-36.02332567685623,39.79917976499677,E,1
44,65+,Mental,A,A,A,-147.35247197372897,-166.76262288018802,A,0
97,36-50,Mental,B,A,B,1.9517695383374025,247.4822539286813,D,0
66,51-65,Physical,A,E,C,67.0811316998182,117.13324158367084,D,1
26,18-25,Mental,A,A,E,30.877854259490324,-123.62054157306139,E,0
80,65+,No,B,B,C,-15.313958285584278,-58.599440943299456,E,0
87,18-25,No,A,D,C,47.069465299225314,24.66895194523607,A,0
72,18-25,No,A,B,B,-113.18232812806777,-70.10892435556413,A,0
70,36-50,None,A,D,E,56.79478814501727,-86.83811649548512,B,1
62,26-35,Mental,B,C,A,92.96304032579495,-298.26437159467,C,1
99,36-50,Both,B,B,C,2.304404078012849,-33.94293844262194,C,1
84,18-25,Mental,C,C,A,177.82715785224434,98.33789182593206,E,0
96,65+,Mental,D,E,D,-115.86411149455398,43.68081960732086,E,1
