age,religious_affiliation,civil_status,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
66,Hindu,Married,M,B,145.95251151296907,E,A,B,-182.47781676859688,D,1
19,Other,Single,M,E,-149.6097231574644,C,D,D,-105.13447250425043,E,1
86,Christian,Married,Non-binary,E,83.30761301125078,B,E,D,-147.0010590045914,C,1
58,Other,Single,Other,B,-203.36300710606622,D,A,D,38.11535803391354,D,0
93,Other,Divorced,Non-binary,A,-26.955634376503312,C,E,C,106.17719064082453,A,1
94,Jewish,Single,Non-binary,A,-38.76533460846071,D,B,A,-6.044163170082997,B,1
54,Muslim,Single,Female,E,-48.26865171021822,D,C,B,-2.653134485431701,C,0
72,Other,Single,Female,D,-144.14632699472983,D,D,D,139.46352797540254,B,0
39,Other,Married,Female,D,-47.299072896573705,B,D,D,65.24886578623939,B,1
77,Muslim,Married,F,C,-121.2777736652499,B,E,B,-12.953992510488657,B,1
97,None,Divorced,Non-binary,E,-149.91881717118673,E,A,E,179.2412529078525,B,0
49,Christian,Married,Female,E,-131.89164161101402,C,C,A,155.3417318060358,B,0
78,Buddhist,Divorced,Other,C,106.5357249147236,B,E,E,-39.206253084286544,B,1
20,Other,Widowed,F,E,-115.05276858119026,C,B,D,-30.47494100656615,B,1
63,Jewish,Married,Other,A,-77.03446736400907,E,B,C,80.6354391148706,C,0
38,Muslim,Married,F,D,82.66998652731806,C,A,C,120.41259101120126,C,1
76,Other,Widowed,Other,A,-230.61839160005823,E,D,A,13.239916521186975,D,1
96,Christian,Divorced,M,D,111.56926991517389,B,B,B,-45.711011634521654,D,0
46,Jewish,Married,Male,D,47.8553099280897,E,E,E,80.65917692633899,D,1
45,None,Single,F,D,125.53679685669596,E,D,A,100.14035460872779,A,1
22,Jewish,Single,Non-binary,B,57.417571737282636,D,D,C,-172.37135552062247,E,1
38,Jewish,Divorced,Male,B,54.221807229085684,A,E,D,50.353437167531276,B,0
67,None,Single,Male,D,10.479007469687275,C,B,D,38.35686345182952,A,0
80,Other,Married,F,D,-132.2351839718291,C,C,C,-22.58244050016974,E,0
