disability,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
None,M,D,C,297.35868387171445,53.53279349329982,143.41963034782475,B,D,B,A,-90.86638742481716,A,0
Mental,M,B,D,-45.2564729803964,80.81790413286159,11.908018333231183,D,A,D,E,-60.16670089015227,A,0
Both,Female,E,A,13.761639041949675,-75.85264637475616,-33.524072616583986,B,C,A,E,-252.5930955896813,C,1
Physical,Male,C,B,-132.19199108932727,87.31818797070869,118.52320789877264,C,B,C,A,-43.90730536810077,E,0
None,Male,B,D,-91.02807131926103,10.531131810487866,-119.0424948276653,B,D,D,A,61.8082628839732,D,1
Yes,F,C,E,154.2236220758515,95.84867128440409,96.2167385802893,E,A,E,E,51.732461964514364,E,1
Physical,Other,B,B,10.707458758434639,210.6835256289841,-139.4120134732036,E,C,B,D,63.50311335890735,A,0
Yes,F,D,A,-62.448729473153804,21.99636792716569,158.2834015696533,C,E,A,C,-1.344318455644688,B,0
Both,M,B,D,-204.64089394216563,63.72889994853478,-105.61411483127429,C,E,E,D,-9.969079679972754,B,1
No,Non-binary,B,D,-83.03315543795848,126.07563029873023,40.769717940356514,D,D,D,C,82.66944994758629,A,1
None,M,D,A,56.67611779958974,151.42344308532896,10.291953602773681,B,E,A,A,-39.955086773772855,B,1
None,Other,D,E,-187.3693545586333,92.58017005625058,41.23425533123518,C,B,E,C,63.52578050188633,E,1
None,M,A,A,140.0205401691244,45.679947009064826,-37.791843618713,D,C,C,B,32.66266156264917,B,0
Mental,Other,A,A,-55.137724481424264,-50.307852474736535,7.621391743306129,A,B,D,B,36.86199167544908,D,1
No,Non-binary,A,B,83.4270479441519,60.39847573887573,-1.1605540532616152,C,E,B,D,159.56885659901596,B,1
None,Non-binary,B,C,-230.35788564273685,-190.56512019527054,-43.379196263574215,E,B,E,A,111.44699509408883,B,1
No,Female,A,C,2.2460530895484236,-33.22292843454775,113.7549789889871,D,B,C,D,-102.84243314041916,B,0
Both,M,D,E,-39.500087641420066,101.44603667614385,-13.339842911207503,D,D,C,E,73.63591830494416,A,1
Yes,Female,B,B,-28.225937595340874,174.91196176528092,-78.62394901909741,D,A,D,B,40.912319298638,A,1
Yes,Female,C,C,-132.83622614432824,103.38256072413769,-63.38200396736154,E,C,A,B,164.68603959386155,E,0
Physical,F,E,A,-139.97520545684623,140.76620027739105,21.06337808749224,E,A,B,E,20.351237650340455,C,0
Yes,M,E,C,-10.6907746431364,-262.54600236762866,-280.8836959245202,D,D,C,A,8.126994421006422,E,0
Physical,Other,B,E,-205.8014629239167,29.35598187289688,-54.96439268348921,A,E,C,B,48.909536347637996,B,1
Mental,F,A,D,-141.26419247158015,-12.314770854129929,189.70443396452075,A,E,A,B,86.91786335907807,B,0
Mental,Non-binary,B,E,98.57925022906737,39.23749690382145,82.70761537499051,B,A,B,D,102.6311987679847,D,0
No,F,A,C,-51.90196490721925,-48.50646133160073,-68.49519512312672,D,B,C,D,-60.94190503954056,A,0
Mental,M,B,B,175.424555198261,-28.994393918064016,26.58719370202694,D,B,D,C,-10.477179109626187,D,1
Physical,Non-binary,A,D,25.867045109863696,114.5108587424232,25.981478010374232,C,B,E,A,87.20108460315025,A,0
Both,F,C,B,-152.53872780818233,-93.26594410135807,138.6069225391497,D,C,A,B,-51.45911435010452,B,1
Mental,Male,B,A,-69.22763398230661,91.36241311258209,32.621265086095654,D,D,A,D,-15.553189501959286,C,0
Mental,M,A,B,-128.69405835337335,-100.78697484793065,-120.12291320757707,A,D,D,E,-36.60238744906663,E,1
Yes,F,C,A,-45.80414654837024,195.63719752724577,71.99059279658432,B,B,D,A,-9.776772636349394,A,0
