RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Black,A,-35.61800245382001,E,-108.42706377182782,40.07079861014429,24.99740299860317,-133.71967073099626,-50.54658617075369,D,B,A,-69.44851385444768,0
Asian,B,-20.057943775193504,A,71.12469227980586,90.64475243173982,0.5181405924942153,-59.54790339809204,44.15974367969163,B,E,D,55.27472290549886,1
Other,C,-22.194551203363694,C,-194.78416943555789,-54.99473707733562,114.8001335937249,-66.27381008718287,-38.16402653829504,A,A,A,-45.73061712226779,0
African American,C,45.1377745307372,C,-82.72975523234665,-36.69820626449582,-124.75774606814267,93.12671880413178,9.47268618764144,E,E,C,-4.172225932357055,1
Black,E,126.72482647183527,E,-138.73717247347616,25.639480950842458,-140.11647036595969,-85.15603117426099,-75.96686839741399,E,C,B,-95.75135155799995,0
African American,E,-33.58870017629274,E,-75.06553558552936,78.73330119226945,87.28322173526686,-42.13967148862087,-37.74109832935949,B,A,E,45.47660226265032,1
Other,C,77.92271819199186,A,13.92937191835222,-86.43401574705776,127.82147686194494,-49.80248436136472,0.558994744847501,E,B,D,-52.78916544079883,0
White,C,92.56149008398258,D,-57.026275156610964,129.05779338123818,-45.73122926014757,12.479666581448038,-7.575094648970058,D,D,E,13.854015016326986,1
White,B,-82.33949458717022,B,-95.21987151994283,-232.39392180448255,141.5123109328347,95.17852854402241,20.26906250704295,D,C,A,48.1891806385152,0
White,B,-85.73043480332593,E,-64.35451024106817,9.935000965564212,-51.263379218792124,-145.35219895894753,-138.74867615166937,A,C,E,-72.54775248880854,0
Asian,E,-28.136441487905184,C,97.43051810752512,254.10342239254814,197.21775021462975,-150.5544706962347,-121.14634569965281,A,C,E,54.43957491931851,1
Black,E,-58.324806344130366,C,-62.51226730920888,81.14806908710767,-130.15408099094995,-31.223187684479193,41.74261383367508,D,B,A,-98.33062127203263,1
Asian,E,-342.15818097679386,B,91.61693138481097,-9.531190878278133,78.13415808095866,32.327432106448924,-104.40343869321076,A,E,E,-55.08656948829858,1
White,D,-200.75577470005808,A,77.23688165311091,178.25607368166743,-36.50708793599334,41.70592096191493,-40.54233289627916,B,C,C,180.1826418318345,0
Asian,D,77.80522686684866,A,208.94587319812072,-124.25160110155211,-131.39653184179303,29.04045118833262,131.2935515349439,A,A,D,-46.79292443656956,1
Other,D,-78.01971241978704,D,76.15174113364046,-35.9261095852537,23.694151528677708,-152.83776863506156,-52.06749874548004,E,D,C,-31.75912236419976,0
Black,C,27.490577946813143,A,66.45923374213473,90.9812962246869,170.67674890381633,-73.31061900125874,138.86766853867024,E,D,B,-74.06860139199068,1
White,D,-21.656334261938202,B,-53.411177920833886,-69.65830304281906,-104.95761749202966,-118.61689161136715,64.53830872434318,E,B,B,50.2512604976464,1
Asian,C,46.17057469710028,E,-108.35578956027496,80.74281642255373,104.88631640014819,-74.13701079636952,25.880638386455214,C,B,A,22.839459818104803,1
White,C,97.53897339486988,D,-1.9952907709302772,-4.718248409263088,5.370854121051643,-196.67314713306078,216.4794372924586,C,A,B,3.236055697666266,1
Other,E,41.47538291434794,A,-7.399662238357852,-49.444555859322826,-19.56681620278699,43.87496408478888,94.56364474198624,A,D,A,-80.68183397655501,1
Other,B,-195.38061181650227,C,56.11397893578848,-49.555781645949956,147.95029809383269,123.65837772694128,193.409000771728,B,D,B,206.1778943290032,0
Other,A,-167.36512045472355,B,90.5812489694775,27.083090941028743,-34.78369390177464,34.314298271898885,13.53727833406619,C,D,E,61.67048375891244,1
White,D,-188.79383377635855,E,181.48124068627305,60.694282370040945,57.7979311286708,-108.2866543932,-123.92947646481487,A,B,A,137.05628158658354,1
African American,B,-12.634079096593098,E,142.1702459737843,-154.4969942893938,-185.4396512603812,-10.042765012066939,-32.918493148195445,E,A,A,90.47902895034122,0
