age_range,SEX,military,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
18-25,Female,Non-Veteran,Mexico,24.24302761786428,-136.75983769234387,D,A,E,-22.77663519344416,1
18-25,F,Veteran,China,-26.96350664350589,-116.21696635086873,A,D,A,-51.07983222310723,1
26-35,Female,Non-Veteran,US,-59.31520454585303,-184.48351250064331,B,B,B,31.258213837780996,1
26-35,Female,Veteran,India,-21.64912014101263,3.743033319735431,C,C,A,127.05546653234335,0
26-35,Female,Non-Veteran,Other,187.30906158595735,90.32443561154699,E,C,B,2.9117416776992004,0
26-35,Female,No,UK,-122.61186959862383,-18.808451019685666,E,B,C,-22.68578654650712,1
51-65,Female,Veteran,Other,-139.86918263683035,-155.18811052154035,E,E,B,33.41887678585033,1
51-65,Female,No,Other,2.0979808545023753,-58.903854232956164,A,A,C,83.60751585483298,0
26-35,Female,Non-Veteran,UK,80.60489410377049,74.28258895293132,C,A,B,123.87083915383148,1
36-50,Other,Veteran,Other,-153.31992037929177,-34.78582782412739,C,E,C,107.60707131238784,0
18-25,Male,No,China,51.56515446981691,29.04813751263856,C,B,E,-62.22210726912417,1
51-65,Male,Non-Veteran,UK,-13.086194052205306,-58.95955566553152,B,E,E,-125.15326192103701,0
65+,Other,Yes,Mexico,35.2183047423156,57.376594126763024,D,A,A,138.6469979500064,0
65+,M,Veteran,UK,-180.97133914520245,-110.27076630223047,B,A,A,11.67359951060934,0
26-35,Female,Veteran,India,-29.1097567915165,170.23001458254825,D,B,A,10.12584237379805,1
26-35,Other,Yes,Mexico,79.08643868868566,53.08280644716514,E,C,E,64.86596764057553,0
51-65,M,No,China,-69.25783251222445,36.16838005270932,E,B,E,103.2553434835498,1
18-25,F,No,Brazil,-70.47836378068352,167.22698440143478,D,E,A,-83.61661456183681,1
65+,Male,No,Brazil,77.31866752939752,121.10026432244125,D,B,C,112.3462666467666,1
36-50,F,Yes,Mexico,26.59481301298324,-110.92630213408154,A,A,B,58.87617353619975,1
51-65,Other,Non-Veteran,Mexico,78.73605186154042,-103.6261236406018,B,C,A,-99.9873877844064,0
51-65,Male,No,China,-255.92803495100003,66.45787041459282,B,C,D,-130.05413867234844,0
26-35,F,No,Germany,51.8351986975916,-141.09365827502165,A,B,B,-145.2411362146468,1
18-25,F,Non-Veteran,China,-123.93144376341812,-119.67981325686348,A,D,C,-36.620192556979426,0
51-65,Other,Non-Veteran,US,-3.547045238061021,198.1763203053353,A,C,E,-121.82014172826767,0
36-50,M,Veteran,India,19.21810125079679,55.3292142297864,D,A,E,45.58018379546531,1
51-65,M,Non-Veteran,India,-24.01988246533081,-194.7545326713167,E,A,B,169.70147024234376,1
18-25,M,No,Other,-199.2573731117752,190.47682962532792,B,E,C,-8.372978726914384,0
36-50,F,No,Brazil,29.087785311662767,-62.62821245725547,D,C,B,53.12340764720178,1
18-25,F,No,India,-59.6877776314721,-62.006667057971185,A,E,C,-137.01871656420477,0
36-50,Female,Veteran,US,8.441072732591696,139.37023753235337,A,D,B,-119.52445153313545,0
26-35,M,No,India,-106.89580358237262,-104.99040229427385,D,D,A,-109.90064838077357,0
65+,Female,No,US,12.425353960563735,-12.36520589265778,B,D,D,94.52332465041845,1
51-65,Female,No,UK,-6.1421278933251395,-77.65057892690912,D,B,D,-7.866560374000819,1
