disability,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
No,Other,C,A,E,D,-219.27562457822626,A,B,B,-24.628384068830194,B,78.26715659481984,-90.04039076402069,2.190799286434479,A,B,-13.985717860334221,6.148455211083378,C,E,0
Physical,Hispanic,C,C,B,C,-14.968716505751841,E,C,A,135.57796401875987,D,42.97501458253829,-0.3387408599975097,-85.58201955710801,E,E,-37.989261956947,98.2118935455717,B,B,1
Mental,Hispanic,E,C,E,D,-52.21686160925743,A,B,A,-73.51097798623255,C,192.90286488868847,41.67610701498345,60.805870629043426,E,C,32.674205289351924,-18.787523607723017,D,B,1
Mental,Hispanic,A,B,D,E,72.04222984704646,B,C,A,-35.73571420533913,C,-225.28093426805907,3.0311769825820796,62.82563844847455,E,B,-66.17339973540122,-222.88738230650068,B,D,1
Mental,African American,E,B,C,C,45.27473489999144,E,B,C,-169.75330036010422,E,-193.56409699895548,208.32611592597493,-131.46274410502014,E,A,-17.35566061229526,37.9095621108364,B,D,1
Both,Asian,C,C,A,D,91.43722675665978,E,D,A,-177.69510943505605,B,76.00258976127462,-120.52959159507085,-61.48794074038227,A,B,-113.3061816133452,-2.8193415261816153,A,C,1
None,Other,E,A,D,E,-194.9263272402981,B,B,B,-189.70985970240963,E,83.98287513525558,18.531114801754107,20.4647083375478,C,D,-88.08175413462448,-275.71864191492097,B,C,0
None,Asian,B,E,A,D,-61.124270282231876,B,C,E,73.88366574175537,A,8.139303636887623,-173.1528219059569,90.09232185453739,C,C,120.03239289530656,-82.75835550575557,E,D,0
Both,Asian,D,C,B,E,-87.21414154322909,B,A,C,74.90717041985458,C,-90.58227566368257,4.7690241479350926,-205.2865249812977,B,C,42.20996134734017,133.68915219246594,A,E,0
None,Asian,C,C,B,E,-13.566786055640808,B,C,C,97.05718339482614,B,-91.68805513509582,-107.74960068264463,-72.47396442231097,E,C,40.695425063846976,74.97856394567482,B,A,1
Yes,Asian,A,E,D,A,25.53655434185539,E,A,E,-233.50660955936715,A,-149.43523021657248,17.49562365523703,4.9858397754060935,B,E,-143.13952287753852,-105.80845134919055,B,B,0
Yes,Other,C,E,B,C,-3.856574762263166,C,C,D,-67.12074090273931,A,-68.36554607006224,86.81380785783985,90.18397438174182,D,A,53.66042769155735,-64.83951676085572,A,A,0
Mental,Asian,D,A,E,B,56.384063313642166,E,E,A,-45.8136555747688,C,-92.2345642888588,77.82755350716745,-39.66846933061294,E,C,-51.86458109195953,41.121990593861895,D,D,1
Physical,African American,A,B,C,E,-34.141204058762206,A,D,D,166.38138560186502,B,41.70299916940816,41.96498391438554,49.58966201979431,B,C,133.1092577642972,105.81634955499715,B,D,1
Yes,Hispanic,B,B,A,B,117.73698316531735,B,B,C,-106.32707967308393,A,49.5585751822039,15.493752014397597,212.76933961089216,C,D,-137.94953419145028,6.916129204953987,D,E,0
Physical,African American,D,C,A,D,87.70988506036052,E,C,A,-45.965309458438306,C,97.88808304275986,86.45826885121521,48.33145189207671,D,E,140.4071507041646,-105.27130018019466,B,C,1
Yes,African American,E,C,D,B,120.76937344598512,D,C,D,-68.99034654767694,B,-128.98599909978972,17.579218790757057,-144.36889080565294,B,D,-37.93787353925,91.74786646421114,E,E,0
None,Asian,B,A,B,E,150.1161975055696,A,E,A,41.98041016300865,C,-123.09504702382523,19.65295231383635,-132.40191043739557,D,A,-65.52075966918426,-46.439785410776636,A,A,0
No,White,C,D,C,D,-82.25284073634475,A,B,E,181.09831905748484,D,-71.01768828455538,99.98153954348932,-40.137675574377056,A,C,-34.94868177253531,-154.0244006534497,B,D,1
Mental,Black,A,D,B,E,-85.87610040030673,E,A,E,117.79072858566482,A,53.90036267056342,-7.937461742411825,-41.316537485177804,C,D,13.434472634660995,32.3650123006538,E,C,0
Mental,Hispanic,C,E,E,E,117.53230194328891,E,E,D,-149.98395699149975,D,20.190003000686,-110.53353011690041,-55.27933496249182,E,A,-12.24496608105893,-25.151355633305855,C,B,0
No,African American,C,A,D,C,122.01037607658833,C,D,D,175.87768113432435,A,-23.772786690297497,84.99171356860624,-45.71359600080642,E,E,73.99967466435294,-115.83544320663901,E,A,0
Mental,African American,A,A,D,E,122.44268245665357,A,E,B,-16.510028392191543,D,-43.5460960099668,-96.05196665428649,-50.99355025291936,B,B,-44.3831154620787,-11.383833406753046,C,D,0
Both,Black,D,E,C,A,6.5330733711840105,C,E,C,21.2332317316818,C,6.061160850392622,80.53856058974458,82.08062795685102,A,D,-36.76714708321504,24.792147139903314,A,D,0
Yes,Asian,E,B,B,A,-33.28364178483855,A,E,E,-220.11027133022574,D,136.33431841212214,79.9842666688784,64.1038483448502,A,D,-166.55044661511403,-109.9089599513204,B,D,0
No,White,A,C,B,B,-29.17496685420749,C,C,B,-166.59982238452244,C,21.649519056859873,-60.757254099201155,27.775153716609285,C,A,22.36206598576244,-132.4340525491754,C,D,1
Physical,Asian,B,D,A,C,-46.58738521595597,D,B,C,156.38472031328422,B,-15.650680631680986,189.75489065174617,60.34322347892429,A,B,22.692443696024757,136.56408787642485,D,A,1
Physical,White,D,A,C,E,-38.00779131488713,B,A,D,-124.13842636586203,E,201.39621025355493,-68.34254994531722,-40.25066813540968,A,B,18.0404474642501,-73.34961914798586,D,E,1
None,Hispanic,D,D,D,E,52.7076726315013,D,E,C,81.52129540320561,D,-93.8245707708707,9.54113632644246,66.80979049476386,C,C,-13.358412785062129,71.04390329641332,C,D,0
Physical,Asian,B,A,A,B,-101.30294766726655,D,E,E,168.74399018862061,B,142.01537007161514,-220.3218732357153,78.50946662982923,A,E,58.572044397418445,225.24478915596427,E,D,0
Both,Asian,A,B,D,D,114.38998482837022,D,D,D,-8.595557843258536,C,-18.56497538158505,92.7464746458655,-70.63045777676865,B,B,-144.89501265864578,153.56912879602407,A,E,1
Yes,Asian,E,A,B,C,-12.417058547550841,A,C,B,-108.3884760108014,B,-124.58907096134291,-125.33598592004938,42.90837346833181,E,A,-23.161967663100498,-94.66234841084004,B,A,0
No,White,B,D,E,E,29.761280838305453,D,A,E,48.83279989589064,E,-60.83962238839734,-4.483487590238358,10.877314278084718,B,E,37.370454409457935,-0.25294379766888747,B,A,0
Yes,African American,C,B,A,C,-181.15933852266429,C,D,C,181.97246861175822,A,-42.8516214045655,-17.689609306288,1.1033382314393463,C,B,-41.447631117985686,166.52070231125714,B,A,1
Both,Other,E,E,B,B,182.75417665134074,E,B,D,-116.15610077632617,C,129.28180646333308,-43.59833282260658,-18.525942809477918,D,B,-65.63338346053723,-74.9580960580967,B,E,1
Mental,Hispanic,D,E,A,A,109.74808858682825,E,D,A,53.677254611381606,A,-71.29618773200696,-26.781758194536305,-57.08705954776011,A,A,0.009911520715458904,130.07607565752033,B,D,1
None,Black,B,D,A,E,87.77746059155214,A,E,A,78.29178721094246,D,101.42317101318467,117.1260821469093,-143.51202032436677,E,E,-9.092727239427113,2.6535380492017593,D,A,1
Physical,African American,D,B,E,C,42.57011691298621,D,E,A,-17.48651615571168,E,-20.343856502779197,-143.2570486200257,42.33442336512786,A,E,5.373960260337083,-54.49879629554884,E,E,1
Both,White,B,A,A,E,-32.72240633810468,E,B,B,78.59654299351743,E,99.7050487050565,-81.21704021730314,-65.35338159008917,A,C,-143.4190823408837,154.3455444540746,D,A,1
Physical,White,A,C,E,E,97.71083794062916,B,A,A,-56.55794910779516,B,25.05437867097417,16.282269443095736,123.35361101811542,D,B,14.436711602627328,-162.7806500017454,E,D,0
Yes,Other,D,B,C,D,-2.330551311118655,B,E,D,-78.88890688623725,A,182.33222604243687,71.09910926484461,150.40806632269607,A,B,63.14688666188246,-76.10617739879822,B,B,0
Both,Other,A,B,D,A,-141.28220797357736,D,B,C,65.30892751727788,C,-85.90035969338949,-66.23973687747336,75.27472607594645,D,E,-119.46518788292491,-132.5204093624951,D,B,1
Mental,Hispanic,D,C,B,A,198.82454759521582,A,C,D,-118.61073757481306,C,58.31113018230663,-21.73320749842326,-79.03540314237557,E,D,-102.44801735169054,-134.47598957768105,D,C,0
No,Asian,D,D,C,C,-22.063130809892794,E,E,A,-129.0739124768786,E,47.01607946234445,111.35189999782659,69.10763311444967,B,C,-25.067593454443603,1.589061537516851,E,D,0
Mental,Black,E,D,C,A,28.243720585151078,D,C,E,-101.9618180053973,E,54.399218339438825,36.18028124520969,-5.408437195200289,B,E,92.48527866921799,-78.74200707921558,C,C,0
None,Other,C,A,C,C,-72.03445521626912,C,B,D,2.3534954566534054,A,135.02916977417175,-13.395753611245404,-66.76239167318178,A,E,25.547505151626837,-98.9931448642128,B,D,1
Both,Hispanic,E,B,A,D,121.58182196963105,D,D,B,125.4898382230919,B,23.503293582197117,-142.26217504904548,41.43409565860027,A,E,35.78949082733307,146.3696693179758,D,D,0
No,African American,E,C,B,B,-85.96570643522358,D,A,B,-9.553638766905019,A,-24.119679799343675,-49.90546748499103,63.94594998392914,E,C,-47.29772565543825,8.011468692544579,E,A,0
