Nationality,age_group,faith,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
UK,36-50,Buddhist,Male,D,73.32811327490612,-281.32448520893195,A,-82.81990201898898,-35.02297599739645,E,1
US,36-50,Buddhist,Male,B,35.71664638538493,31.740259535811738,A,121.93711109450929,28.06547817307653,C,0
Other,26-35,Muslim,Male,E,13.923102217033348,25.570539244725136,C,-68.26889975887173,-127.05754843082964,A,1
UK,18-25,Other,M,E,-61.20048013998112,-47.50037878460853,D,46.86935283760648,-21.795599883797728,A,1
Brazil,65+,None,M,E,154.6327242756597,94.65415928259345,A,52.68205192219764,172.95896024536518,B,0
China,51-65,Buddhist,Other,E,161.05996558653487,-74.50863032984577,C,10.702018466109333,-33.53130515788795,E,1
Other,26-35,Other,Female,A,-40.023153808814286,131.4299882153879,A,-36.578171800820535,127.65216381107743,D,1
Mexico,51-65,Muslim,Male,A,20.39465995615667,-43.55903367510053,A,147.2685279190291,-105.29546039238402,B,0
Germany,51-65,Buddhist,Non-binary,E,-51.327246932965885,99.910673438774,B,-100.32971716700354,-147.68163148125396,D,0
Germany,65+,Other,Male,A,-43.81294071899468,-30.546124032430395,E,49.7468285828055,-199.080365208038,A,0
Other,65+,Christian,Male,C,-12.56131845781896,-122.94717777892812,C,-103.17712816190787,18.61759691712852,C,1
Germany,18-25,Buddhist,Female,B,143.45325551912387,-11.59322598000025,C,98.73490820190683,53.5638855734506,A,0
UK,18-25,Buddhist,Male,C,-144.2700015077021,180.22586733725993,D,-71.36199705321982,204.17188045911269,B,0
Mexico,18-25,Christian,Female,C,23.92173673704526,-94.04007262082445,B,33.92232111445169,-41.9947212310019,A,1
India,36-50,Hindu,Other,D,-94.13513375784561,-13.644203920185888,E,25.585946207233146,66.32030723088417,A,1
Mexico,18-25,Buddhist,Non-binary,D,205.4739795466146,-55.41412202420095,A,92.67907308994998,68.74939292353804,D,1
Germany,65+,Muslim,Non-binary,B,132.0015523075292,92.24972189773953,D,-203.09312681516136,-45.28298081952335,E,1
Other,36-50,Muslim,M,E,-67.41884064980762,52.86933962255939,D,-31.76114087433636,147.80815711325653,A,1
Germany,51-65,Buddhist,Male,D,-79.01329187432191,-47.373670737940664,B,131.19354374649257,64.12466386549322,A,0
China,18-25,Muslim,Female,E,66.39070382649378,61.470696751447164,B,21.330197092469668,-77.11830995555111,B,1
US,18-25,Other,Male,A,42.55932247199109,50.974126236895366,B,31.1872614400165,-34.24811975611038,A,0
US,26-35,Christian,Non-binary,A,-35.41451173014267,-60.37509413041603,E,-93.70120658872138,79.89033329014855,E,0
India,26-35,Buddhist,Male,D,180.6294993687871,-42.2374414963687,B,-34.916147052114084,-126.6678538643208,C,0
China,18-25,Christian,F,C,35.7532309049871,10.09931876462509,A,-118.51604335794306,146.81195469043053,A,0
Brazil,26-35,Hindu,F,E,-144.61117153192748,180.34157658601976,B,-123.27529429963333,-15.982841184038154,D,0
