country,orientation,age_group,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
US,Bisexual,36-50,Asian,-39.57530460381643,45.49385171328054,-60.871828928964334,65.18809573480151,A,181.0746476262957,E,D,53.913753011094435,-5.639087787111616,D,C,0
Other,Other,18-25,Other,154.521867498203,-129.32538304005683,-89.54182556934877,-210.09252019858633,B,145.40364170533152,E,B,-33.65661425492797,32.3851178664185,C,B,1
Other,Heterosexual,36-50,African American,-56.59067771233125,16.064521335112545,-264.62837267372663,-71.66502100240754,B,4.971838598124301,C,E,70.15883633039948,-115.1433843127446,A,E,0
Other,Bisexual,36-50,White,-59.43415944706819,22.532191263322606,-66.94810619768809,33.04746858286117,C,-7.227782635594535,E,B,-136.37588521764837,-64.1278311560622,C,B,1
Mexico,Other,26-35,White,-106.2208474923001,-136.59963388548655,97.5703036477235,-70.61703291189687,C,-134.60774863625667,C,E,-60.662994294601425,-65.52310318454374,B,D,0
UK,Other,36-50,African American,-46.89029190381698,-83.12536442109892,29.133902054481148,-173.52289157965726,E,34.29885836954983,D,A,64.37456706776771,-39.38390344824968,C,B,0
China,Other,65+,White,56.512651078701026,-324.4193244452606,-96.55650584388728,86.61125278068855,A,-256.9807584257776,D,B,-256.9313048048742,38.82119195313018,E,C,0
China,Bisexual,26-35,Hispanic,-92.05807969669249,28.34943406544727,-46.499710415447446,-52.441442947630776,A,-45.57289383277934,A,B,-241.73466280028575,55.18945768201339,B,A,0
China,Other,51-65,Other,115.22040376900537,49.582143485677044,-117.09348103360036,132.12149131578929,C,-11.579151267143253,E,E,-64.42197299677737,68.75026218730247,B,C,1
China,Bisexual,65+,Hispanic,6.404164024706495,1.9198283743020337,89.53285312785904,115.1704760142479,A,12.103224478204291,B,E,42.43889973816785,100.0642213739525,E,A,1
US,Heterosexual,36-50,African American,3.6165686999075652,-61.982018834271855,110.60284855393748,-225.8859971768244,E,37.962356277039866,E,B,-60.13944204440013,-29.802745331054386,A,C,1
Mexico,Bisexual,36-50,African American,-82.2035512231905,-141.91276028385028,-203.83748292144978,-21.378696824672357,C,18.98293554473852,E,D,-83.89826807734023,-116.59333623149944,C,B,0
China,Other,65+,White,20.980001728003707,-7.997358173890612,78.85622462682397,-85.24965016228249,E,31.00253985551008,C,C,-73.39901974307935,-18.074977648018933,A,D,1
UK,Bisexual,51-65,Other,126.16884250692924,161.9181230348507,72.35976597614058,-69.18687927673972,D,163.4577050278525,D,E,-30.897005515392916,-12.549183498730812,E,C,0
Brazil,Heterosexual,18-25,Other,-3.889803566565664,-137.16033497171358,-45.91951149708136,76.70188884244543,B,-101.08993562093984,E,D,134.64741233494445,-43.61534200844136,E,B,1
Brazil,Bisexual,36-50,Black,-161.505990197466,90.7146669694168,38.3434767003383,-16.022112981568995,D,-143.18774276389408,C,E,-121.7278186586779,-18.32769354265257,D,D,1
UK,Heterosexual,26-35,Asian,-42.186331869729734,-2.5100650496603856,102.31175707816944,27.779203272618027,C,-57.41151443728074,A,D,-111.1972347943736,142.75086186317435,D,C,0
Other,Heterosexual,65+,African American,-61.035258322177434,-84.07018879557614,-225.62500929404314,111.05961482186402,A,38.39724401272925,B,C,90.16804205110527,13.577710968579987,D,A,0
US,Homosexual,51-65,Hispanic,72.6735112679105,80.21282211307324,7.390955593498924,4.4741865878102764,E,179.3474287842106,C,D,92.35026093297355,-60.33873357508178,A,C,1
UK,Homosexual,51-65,African American,-135.47316408950766,209.7351592991969,-56.76064044361241,-29.53345794414342,B,-68.64324864156602,D,E,-6.35952225486003,67.61898505727932,A,E,1
Brazil,Bisexual,51-65,Black,179.2975448192686,-19.66478107497529,46.81575540962443,137.31599768740963,B,26.537609450931875,C,C,-31.70456923904497,150.6617189807539,B,E,0
Mexico,Other,26-35,White,79.85365138105948,21.003365364928936,-62.44212075049108,-38.97377762986077,A,43.13617598115825,D,E,-94.22633361340384,-129.6941064184906,C,D,1
Germany,Bisexual,18-25,Asian,-143.59289926999722,-18.135584553215907,109.42775336448263,-35.83448601318044,A,-137.3151081059092,E,A,-23.573884119280244,2.994857225112309,D,D,0
UK,Other,36-50,White,121.1382222645128,-72.10416026087039,-60.8486062113686,-83.49165075176222,B,75.7491480812111,B,A,-49.52719977404508,-39.61463006704666,D,B,0
Germany,Other,36-50,Black,33.92217922785912,112.83581082219143,-166.27637693773931,-42.776402706894075,C,-139.02037790397878,E,C,-9.930520038492514,-39.33187849012205,A,E,1
India,Bisexual,51-65,White,-13.715371437635495,-15.593682929703187,-31.43328168522053,-83.39417712727563,C,-72.29927025934036,E,A,135.69178569274632,-3.089695930362549,D,B,1
US,Bisexual,26-35,African American,47.12239702310286,3.4203315781152535,173.70028928140871,-35.31534859870369,B,20.576803606887072,E,D,25.27053858019262,-284.33066432602783,C,D,0
India,Homosexual,65+,African American,53.799657872411345,9.452872294108957,-42.58419998743665,-45.04036610702753,B,-8.740322384449092,B,D,-17.837547109642372,63.57072779474737,B,C,1
US,Heterosexual,26-35,African American,53.59136115595267,-72.34043081600757,153.77672261081585,-158.49447846297352,A,84.60551363997088,D,A,182.78832714279537,84.28054017192419,A,A,1
Germany,Bisexual,65+,Hispanic,103.35962999266437,45.62354831693576,99.69080286449032,14.315656405424884,C,118.53694039341134,E,E,-35.94964051937964,57.724562320242754,E,A,0
Other,Bisexual,18-25,Hispanic,134.88716856267496,21.500580980257723,-171.14437627319526,-48.69340669206066,A,3.818849986123982,E,D,31.279961334604838,47.55742271675135,B,A,1
US,Bisexual,65+,Asian,-96.85053435083755,-88.1466705909282,-60.77356912316015,-91.38126916892858,E,-79.64448258270174,D,D,-155.4222904153575,-60.25369790216551,E,D,1
Germany,Homosexual,18-25,African American,45.71724906516455,11.27542319347422,184.62049696484,172.65004986905302,B,-32.88676775723338,B,B,63.268383699908995,-74.53922256895011,D,C,0
UK,Heterosexual,65+,Asian,45.10941340486586,-33.113394013187644,-223.57161150461894,-189.30026580769496,E,-153.59391070430124,C,E,95.2997018387149,25.282260870909536,D,B,1
Germany,Other,18-25,African American,78.07114582814269,161.41529836037122,23.1291708530544,-36.86897361340185,C,100.05820421650657,A,E,-129.05042575623688,-153.99336469472956,B,B,0
Other,Other,51-65,Asian,90.12019146882612,150.21100078300557,43.683478747345326,59.03962148554067,A,108.97518351999382,A,D,87.58176842097109,31.196207693093804,E,C,0
US,Bisexual,26-35,Black,54.995653045482904,37.585373024839704,-88.9414453384033,-23.228119627118062,B,22.106082517831645,E,C,-194.73138415327657,-73.2010789868357,E,C,1
Brazil,Heterosexual,26-35,Black,213.8079024070244,-84.34559589108113,19.054080141253525,-60.76130140009227,C,100.91668630118691,D,A,90.99218014481578,90.58207886035657,D,A,1
US,Heterosexual,51-65,African American,-73.43729865048144,-87.3072499406564,104.46491265461539,-98.83981177378139,D,40.70962535432216,A,E,-115.46338106945493,-5.690963245894325,C,B,1
Other,Homosexual,51-65,Hispanic,-55.08182695447318,89.09335827345029,88.82199421923814,-105.18966859906844,A,51.03017810018676,D,D,-35.51148200983689,-57.13244506980989,D,C,0
UK,Homosexual,36-50,Other,-11.45619534117286,-9.829550477686526,25.794704007508063,18.92630293598289,D,-167.67249262158907,B,B,-35.99111791694696,53.13804501150994,D,D,0
UK,Other,26-35,White,-3.928029077206421,-38.03665841007169,-96.82716794445788,-26.131821357822616,D,121.42339372978385,C,D,100.65057622538771,-75.35377749602993,E,D,1
Other,Bisexual,18-25,African American,10.663476290359075,138.48637796942177,-72.6137829006471,-49.66762435579865,E,-99.2151194019559,C,D,-55.958790050516996,193.20041377887972,D,E,0
