gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
M,81.75705702714329,B,D,144.43153919531025,132.00413095764839,D,-131.0035186386759,49.16553138451334,A,189.11513505146843,-37.40672980594509,A,C,C,48.56146585364759,-86.74517755168462,-47.135755619435926,1
Non-binary,-120.37914192515922,B,A,56.28904023320668,-49.75819876214461,A,49.206094089044306,-105.5932927816448,A,-17.83583081163867,-36.031367658440786,B,C,D,-110.35847471377495,-104.26240189987807,-56.70352792775031,1
Female,79.64333387597604,E,B,40.37649329295775,194.94799134426245,A,41.4578195713987,184.7438268624512,E,40.11393431249032,89.8569276772601,A,B,C,-56.2686750613331,229.27814321906777,31.19443836728224,0
M,7.00555265279604,C,B,1.9221708540526226,71.03729172982536,D,-90.21369854669446,-137.84248583027428,A,0.35364459853817515,-68.04304000949531,E,A,D,-102.54777307754175,-18.022117465199987,-90.14802847956402,0
M,11.549164240849924,D,C,11.132559059950289,-47.053026123248124,B,14.43131548873939,-24.869713726338595,E,-95.89313633100764,29.979830078718635,A,A,B,-72.96485769160209,-32.57409556984048,43.17516988894456,0
Other,178.80156960007568,A,D,143.8064686606069,-145.05701609020343,C,38.203762031895394,-77.5348093113744,D,152.4334016398529,-65.7894343825908,E,C,A,47.6898606314805,-50.77921900676795,199.99596881742366,0
M,-72.68425501406348,D,A,75.64667106742058,-171.3089936827614,C,42.380202524604485,-220.8257224697653,C,-19.701951550461267,221.67799094279644,D,C,A,-104.30868444405648,18.318679642387085,43.821832113204565,1
Male,44.3879631182233,B,D,174.42678608498935,-26.93971905529102,B,81.6301049062609,-48.84265213307865,C,-9.144045608812164,-88.43372794053963,B,C,E,-42.430661737915976,-4.2398436469143945,23.435929018410203,0
Non-binary,-5.67316819006213,B,C,-101.5667800662307,239.3602393925426,C,-68.99252472009123,-22.364616482743237,E,-179.9031396427201,247.30746415178996,C,D,E,-185.79610668819194,-164.1895329027209,109.34549538506518,1
Other,9.307355326502693,B,D,-7.32457824247542,148.70795605533525,E,79.24193336290081,-82.94732807263013,D,-178.10884943050104,-44.25723934209516,B,A,C,126.80329881840868,-141.55511853396843,-118.02046576475549,1
F,152.31040556308648,C,A,-135.95424996186182,-246.89526556155116,D,13.765775339149208,-3.37786160098861,B,108.98525957583543,9.566023463911835,C,E,A,-107.53177377751844,36.54100357543563,-38.76952352085844,1
