sex,military,age_group,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,target
Male,Non-Veteran,36-50,Single,-119.41866416146665,D,36.89271778324757,79.75965718663299,-87.66679191927035,0
Male,Veteran,65+,Single,-85.29954740358602,E,-155.7923430593342,2.803435214994639,232.35728725992396,0
Female,Veteran,51-65,Divorced,156.99173718927227,B,79.49397577398267,7.668945459312114,14.21258622226215,1
M,Yes,65+,Married,62.059329356933304,E,20.975661189487855,56.114588704675775,52.229740529918125,1
Female,Veteran,26-35,Married,23.95585015381321,D,37.88031005568431,2.27143046689303,-49.15311455306497,0
Male,Non-Veteran,26-35,Married,181.16354886054748,A,18.77929266748261,34.59957067700111,0.1981215870325992,0
Female,No,36-50,Single,110.04231865029172,C,30.079452000983615,57.579637393804894,-24.179897642451436,1
Female,No,65+,Divorced,33.55205447880673,D,96.7895758836741,27.255059253365726,27.339751259173227,0
Male,Non-Veteran,18-25,Divorced,-117.100265843975,D,6.043897991011485,63.33177251169566,132.70040185353568,1
F,Non-Veteran,36-50,Single,233.97762646715603,E,-121.34871310481101,152.35173823364704,72.74596692367294,1
Female,Yes,51-65,Widowed,-104.31954084425885,E,-29.33837773119651,-88.91040539064227,32.43824345547037,1
Female,Yes,65+,Married,101.43054287502204,A,-51.077345924296814,85.9813862405256,-5.091765899962795,0
M,Yes,26-35,Divorced,124.5014704706852,D,104.76555341292757,21.514892849782363,-96.04831891578092,0
Other,Veteran,51-65,Divorced,128.65698210413558,E,72.45629995642055,55.877583073067946,-102.22087373550876,1
Other,Non-Veteran,18-25,Single,-49.28253527303778,D,-24.84475997463211,126.39386729663798,69.94364169863809,1
M,Yes,65+,Married,-83.34447446749091,A,158.44992404558923,-80.04734118491155,60.68834690448116,0
Male,No,65+,Single,-28.837085890465463,C,-59.611275553154606,-100.30422221443224,140.03411830573197,0
Female,Non-Veteran,26-35,Widowed,119.87815996700782,D,-197.2683672400547,146.66709231165117,-13.759984138261977,0
F,Veteran,18-25,Widowed,220.54418114609095,D,48.66919371505618,-82.01341972504916,-36.045043834988384,1
Female,Veteran,18-25,Single,120.64410629881029,D,92.54568107905382,17.246637168233413,-67.9614905909344,1
F,Veteran,51-65,Divorced,64.28769781292166,C,-47.35303558745866,-48.22654457200487,-147.38808739392718,0
Other,Yes,26-35,Single,40.1695977115732,C,-57.837224375839305,-170.62205606562003,21.665684209555845,0
M,Non-Veteran,18-25,Married,-44.71118035362785,A,-47.73980719123859,-20.374949183147915,-31.00677122993159,1
Non-binary,No,18-25,Widowed,-39.93362090435992,D,-8.464999411023639,-35.19240291296066,284.583585756664,0
Other,No,51-65,Divorced,92.857303247659,E,45.59111841037941,51.912429069953916,92.74167175034285,0
F,Non-Veteran,51-65,Widowed,96.15232557656336,C,38.740416800515284,38.25087751317647,-172.5831790198465,0
M,Veteran,36-50,Divorced,117.90946505833715,A,-105.55615337634623,63.2502308314789,89.0742312809757,0
Female,Veteran,26-35,Widowed,-48.59615162306285,A,34.52830270791228,-127.91095529338811,150.55865767056912,1
Non-binary,Non-Veteran,18-25,Married,29.495321578069884,B,166.2752562916546,-30.913746539934785,51.07487946416697,0
Non-binary,Yes,51-65,Married,-13.810175515255896,E,101.75036360365782,23.338345416270936,65.64688751080762,0
Female,Yes,51-65,Single,-38.85134000048473,C,-88.76178053745735,-187.9222475245851,24.881821305063813,1
Female,No,36-50,Married,-103.65103578934946,A,22.051474189780087,-10.30209836869847,89.05268133472771,1
Female,No,65+,Single,-115.16113144066583,B,93.68371089147828,82.2910310067165,65.00587159113381,1
Female,Veteran,36-50,Married,69.94001768782613,A,14.656572997477902,19.845096206101694,-42.78575339541083,0
Other,Yes,51-65,Widowed,30.77959428149998,C,-4.136404176031838,102.65400649928229,93.43362456270081,0
Male,Non-Veteran,65+,Married,82.03444169138942,A,68.56801891440202,5.387399968364668,75.57045529332363,1
Female,No,18-25,Married,-113.46755627407099,B,21.904158451977295,40.88255821665893,-76.89138784537927,1
Other,Non-Veteran,51-65,Single,-13.197427398855568,C,-228.06626734672858,18.199441566669915,-10.395695992059624,1
Male,Yes,65+,Single,58.40525254457203,D,117.94049054284154,44.175689955664744,42.753734576995804,1
Non-binary,No,18-25,Married,-59.27276672055628,C,-112.6183906919484,71.33279014265848,51.75301716159293,1
Other,Non-Veteran,36-50,Divorced,-16.889232474749683,E,-129.30175463236398,40.93936635448322,-22.37343074622587,1
Non-binary,Non-Veteran,36-50,Single,-134.30440361241222,D,160.13923712136767,-159.30330519616305,-18.063356250905077,0
Female,Non-Veteran,18-25,Single,-0.23970987068017272,D,-10.193848018075476,-73.40833880615222,38.4770181047822,1
Non-binary,No,36-50,Single,187.26853103407947,E,-68.13103502576362,-101.26601380670093,19.14178587729741,0
F,Yes,51-65,Widowed,29.48615097945383,E,4.031903236106183,-183.60122738790918,-288.1636586860778,1
M,Veteran,18-25,Widowed,16.078528303913092,E,-220.02240098772563,-46.5623104490285,1.3225174689227621,1
Female,Yes,65+,Divorced,105.28962095236103,A,16.227528874475663,95.92884264731619,239.6620733777195,0
Male,Veteran,26-35,Single,-14.172439868669512,B,-54.597389413285924,-71.7127126923203,-25.553978436186505,1
Male,No,65+,Divorced,105.21963921903388,D,-152.5499614584534,-0.8847903054663742,42.53576096016899,0
Non-binary,Yes,18-25,Married,-189.87083523931284,C,-105.39737689939692,86.29696162006253,57.51672391169366,0
M,Yes,18-25,Single,-187.33397412613505,E,118.54943391461117,-122.56645678683465,68.43458789525138,1
Female,No,51-65,Single,135.188615924808,C,10.472473004860666,9.970148272657125,-126.91989503953613,1
