orientation,age_range,Nationality,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Other,51-65,India,Non-binary,E,88.82755951843572,D,C,-30.53352037201235,72.68035954786254,E,-30.508847474735752,-88.68850975203974,235.59465297781998,165.00220955950897,E,12.838453290067465,A,-117.53992675981763,A,B,B,-19.863772086345392,0
Heterosexual,26-35,US,Other,A,-121.13079603670265,C,E,40.11680305677173,-105.16210316639759,A,-75.68826495167228,-28.10625715569424,107.63099786487112,125.07988834268244,A,5.828038946372692,A,-24.792488398684146,A,B,C,-40.26915058922464,0
Bisexual,65+,Other,F,C,-1.6255532115296587,B,D,5.802210418193691,-107.15508782436929,B,-72.25621635617685,-61.22288118678577,-178.600919131475,-136.15568798830455,E,-74.2040086693999,B,100.55719248720551,B,D,E,146.71719872936947,1
Heterosexual,18-25,UK,M,C,0.6357402332692735,D,C,111.0246313435074,-45.31908903536119,D,102.17505015130686,175.2064735792357,136.77908599258987,-7.3866597256156865,E,-65.10550692546025,C,17.320303413180508,A,E,B,-69.92176376519599,0
Heterosexual,18-25,India,Non-binary,A,34.713085973840094,B,D,253.0750980007058,-103.84422270631235,E,-104.97854926898033,14.140311905375741,30.38015748383805,197.87924726581542,E,-157.2784661636816,C,38.053093633667025,B,B,A,-0.2640066524015875,1
Other,51-65,Other,Male,E,109.91209721130319,E,D,-102.70035090038918,46.554750009018164,E,-194.31278379428656,231.07719038742317,72.30857643831932,-52.04113808497972,D,33.9515112651973,A,-8.399048052422236,B,C,D,-3.1733515540648223,1
Heterosexual,26-35,US,Female,A,-133.36814175699928,E,B,145.33723730500583,148.0793391045674,B,-47.95303216400409,-141.20017723453765,-130.10304962286568,-3.959293130865237,D,-11.630748800791647,A,106.56029312243153,E,B,E,148.33818796598402,0
Heterosexual,65+,India,Female,C,-55.001813664293095,B,E,-54.432444903189705,-133.8487534927622,D,-66.80602012156184,-11.868391463754246,7.833306530411212,-153.84712673757892,C,-86.30173769661242,C,115.44004111762698,C,B,B,-17.90704086668903,1
Homosexual,26-35,US,Other,E,-148.45399781517767,C,B,22.37931611733728,33.810782358940436,B,-58.3315470061448,180.88609355066586,-48.152111377398754,-126.51221950322879,C,64.85668736750779,A,130.96780050168402,A,E,A,-52.997214577340834,1
Homosexual,51-65,US,F,A,23.135156930444893,B,A,-7.218529982984763,45.45660931578049,E,91.7790384961774,-70.49953772013623,151.54106711437856,4.743242137111173,D,-88.63356314062662,C,-7.966022544375029,B,D,E,-186.22891818160147,0
Homosexual,65+,India,F,B,-55.73249472299582,B,A,-62.068332242976176,-159.6042513351304,C,-53.743876565886794,72.51383687194655,78.73132725861828,96.08587400987643,D,149.73907002814533,A,-41.37601664780621,C,C,A,-187.50026071636347,0
Bisexual,36-50,Other,F,B,91.61382330827969,C,A,75.6312089747042,-41.04173956846836,B,17.57219908920221,12.364085414612228,-101.12032349874629,85.70091996836965,E,-12.798382164310867,E,-86.06398242974245,E,A,C,-82.4337437674975,1
Other,18-25,Germany,Female,D,-31.97473589930558,B,B,39.358040825862496,14.86147231876771,B,-21.267883087980355,67.3544890273936,-28.693275759971606,-77.74259358656488,E,94.13843337228785,A,-106.70511027059379,E,C,B,178.33859503758023,0
Other,51-65,Brazil,Female,A,-47.133082518234275,A,D,136.69366569826744,-53.45241272265483,C,77.96083534216596,-71.40428044894678,15.969312781162351,52.380964346072886,A,-47.801458683130136,D,62.655779449370584,C,A,E,-9.364342392404502,1
Bisexual,26-35,India,Other,B,-50.156719212366994,D,D,-43.981262063318816,92.27940689177508,D,113.81652157011996,-96.20537027472426,37.75110754816326,95.11206191176743,A,108.72308012336921,C,73.53877334461598,A,D,B,18.011583190989313,1
Homosexual,18-25,Other,Female,D,-85.53774255425236,D,B,160.58878347338333,-37.55097218416548,B,114.22108875366564,-7.269380762794285,158.93272827052607,-160.05008366089197,E,-55.722875607980804,A,34.31152353949444,C,C,D,27.03106583838944,1
Other,18-25,China,Non-binary,C,35.84949708505746,D,D,56.95248406270257,-224.5691700098646,E,-80.95685061524767,-19.79271584273836,-13.492803511407159,44.691501444190415,A,46.93163004628296,D,-8.278523280555918,C,C,C,126.60743214559609,0
Bisexual,36-50,Mexico,M,B,-160.62338405906874,D,D,102.66397810574207,-31.394446820944825,D,16.106524643738368,109.9627321081464,87.22903413353471,-152.07762853911754,E,-181.533010826046,D,3.71608506831644,E,B,D,-116.32326728705405,0
Heterosexual,65+,UK,Non-binary,D,153.119581055633,C,D,111.85163154066599,105.10659355386223,A,-80.3625381894264,59.14632430260301,55.25296083733221,293.49228492162797,B,-33.975084312966146,D,74.55066605041587,C,D,A,-126.8659739526089,1
Bisexual,36-50,Brazil,Other,D,49.42873440043551,B,E,-107.44516666812154,95.37692756863262,C,82.85799181526777,-137.27312135962492,-128.05482191318126,239.65218898930644,A,16.034100425776852,B,-26.10636973221955,D,E,A,109.66852293015694,1
Other,65+,US,Other,B,109.3794830952347,C,A,-93.43907585734064,-12.814038018462298,C,-29.253950993703835,-98.97110444441441,-62.30134020950251,-103.21864085262318,C,46.68566596277414,E,-146.92984303808961,A,E,B,-175.9938914902871,0
Bisexual,26-35,Mexico,F,A,80.64222940448546,E,C,32.426034673077794,-115.62849978158198,D,90.38832607932451,-49.95223214267117,100.1084595136563,32.457121195851165,A,-47.31926081386907,C,-13.041102220321255,C,A,B,-15.033824366934587,0
Heterosexual,26-35,China,Other,B,91.55116731945517,A,A,125.52370001553157,-56.120859196077944,A,-1.6335644994761387,-99.64048077901569,-165.18059998524373,-9.990122674736156,D,68.87707133481935,C,47.46399140638696,E,C,B,35.33574578659594,1
Heterosexual,26-35,China,M,B,217.24105806228073,C,B,-25.454787416087417,186.64085082310226,A,155.04458585724993,-8.264024532183587,-199.92745648023674,62.21713702404571,A,65.45557663551175,D,42.97936876804982,B,D,A,-34.438858622512804,1
Bisexual,36-50,Germany,M,D,66.05153086515831,B,A,-85.01916356476679,-56.952452531342445,C,-35.313573763383744,99.30743926465603,21.892195595098045,111.57736480282065,E,114.99941274129107,C,54.710077914523595,E,E,D,-25.345206229544043,1
Heterosexual,18-25,UK,Male,D,-11.552165883932899,A,A,43.03131929650251,-77.29177494334894,D,-20.24823562581137,125.7111595424748,5.646468801297209,86.95881833847359,A,3.74659598036816,A,2.7094281328187053,B,D,E,-17.300175720343784,0
