religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Christian,D,A,A,E,E,A,C,38.93392349114206,1
Buddhist,B,E,A,A,C,A,C,38.04456821843253,1
Christian,D,C,B,C,E,E,A,58.55530131647737,1
None,E,E,B,A,B,A,D,106.76483928139623,1
Buddhist,C,C,B,D,E,D,C,24.44345054795938,1
Muslim,B,C,A,C,A,E,D,157.54732810636548,0
Christian,A,E,C,C,A,A,C,10.669047459734667,0
Muslim,B,D,B,B,E,E,A,-22.925354434065124,0
Buddhist,E,B,A,D,A,E,C,54.594826970321755,0
Hindu,A,C,A,B,A,C,E,-81.58160416337616,0
Hindu,B,B,B,A,A,A,A,146.5705343446958,1
Buddhist,B,E,B,C,E,D,E,-103.12031388777916,0
Muslim,B,A,B,A,C,E,B,-74.73705650237432,1
Jewish,B,B,A,E,A,B,D,45.676187328666124,1
Other,D,E,A,D,E,D,C,192.18563349601328,0
Muslim,E,C,B,C,C,C,D,-190.95721545591303,0
Christian,E,B,B,B,B,B,B,-100.37003815436717,1
None,C,E,A,D,C,A,C,-84.41387798167933,0
None,E,C,A,B,C,E,D,-167.34598737588496,1
None,A,D,A,B,A,A,A,-56.57753362287775,0
Buddhist,B,B,A,A,B,A,A,18.95906556583511,0
None,A,E,E,C,E,C,B,3.188161218920095,1
Christian,C,C,E,A,A,A,D,52.68581438849465,0
None,D,B,C,A,D,A,A,-76.51069774386198,1
Muslim,C,C,C,C,C,A,D,-52.70565470272124,0
Hindu,A,B,A,E,A,A,D,2.1900470426656593,0
Muslim,A,E,B,C,E,D,D,153.41212984274748,0
Other,B,E,A,B,C,A,E,36.79597415127054,0
Buddhist,A,C,A,C,A,E,E,26.7920026894404,1
Christian,B,A,D,A,A,D,B,-77.03529968165398,0
Muslim,D,B,A,B,B,D,A,26.01321621873381,0
Hindu,C,C,D,B,B,B,D,81.13650482828348,0
Muslim,D,C,C,B,B,D,B,-87.89270761078896,1
Christian,D,E,A,E,C,E,A,79.34035642032664,1
Buddhist,D,D,A,A,C,D,B,151.70253340175682,0
Muslim,C,A,B,E,D,E,A,40.2316633115003,0
Hindu,E,A,D,D,E,A,C,-36.98707458711649,0
Buddhist,C,C,A,C,B,B,B,47.41742387467233,0
Jewish,B,A,C,D,A,A,C,-46.75423024546526,1
Christian,C,D,B,C,E,B,D,5.798613164819185,1
Muslim,B,A,C,B,E,A,D,-6.484482209192634,0
Hindu,E,D,D,B,B,B,B,-89.47126301939684,0
Other,A,D,C,D,C,B,A,-183.9247135235182,1
Hindu,C,B,D,A,C,D,B,-41.923407241250985,0
Hindu,A,C,E,C,A,A,B,-117.16257369285665,0
Muslim,D,B,B,B,B,D,B,126.73527039198665,0
Christian,D,B,E,E,E,E,C,-78.03729553978803,1
Jewish,A,A,E,B,D,A,C,-83.3056087813485,0
Jewish,C,E,B,E,D,B,E,-127.04636664390769,1
Other,E,E,C,D,D,A,E,69.60705707204204,1
None,A,E,B,A,E,D,A,131.2318422489479,0
Hindu,C,C,E,A,B,B,B,91.25699156307834,1
Other,C,E,A,B,B,E,C,-81.48030522915839,1
Christian,B,E,C,C,B,E,E,215.19471340280512,0
Buddhist,E,D,E,A,A,E,D,-64.98904270147771,1
None,A,B,B,C,B,D,A,268.7772433313314,0
Other,C,D,D,A,D,C,A,51.6414251657489,0
Christian,C,E,A,D,E,B,B,-47.60589032889129,0
Muslim,A,C,C,D,A,C,D,86.7533066987663,1
Hindu,D,A,A,B,A,D,D,-117.64378974009573,0
None,C,B,B,B,A,E,A,-39.20862633783706,0
Other,D,D,B,D,E,B,E,-51.643414479232455,0
Muslim,D,C,E,C,D,A,D,-163.89122775542498,1
Other,B,C,B,E,A,A,A,-13.05814619348197,1
Hindu,D,E,B,E,B,D,B,-30.660424011331582,0
Buddhist,C,C,A,E,C,B,E,254.12462114258912,0
Muslim,B,A,D,C,E,C,D,-121.12099806494207,0
Buddhist,E,E,E,E,D,A,A,90.06943302868245,0
Other,A,B,A,A,C,E,B,-39.158113179348334,1
Jewish,A,A,A,A,E,B,B,-49.31077763807812,0
Christian,B,A,D,B,A,D,D,-119.82298449320798,1
Buddhist,A,A,C,B,C,A,D,-71.03539864949666,0
Other,D,A,C,C,C,A,B,-17.51743271580263,1
Buddhist,A,C,C,D,D,D,E,-55.066611469791496,1
None,D,A,A,E,E,E,B,-41.17331611585222,0
Jewish,C,A,C,A,A,D,B,-64.33378955321658,1
Jewish,E,A,D,D,B,E,E,-6.482585630371378,0
None,D,B,D,C,A,C,E,-78.1410724989094,1
Christian,E,E,A,C,C,E,D,-151.64268275868633,1
Other,D,A,C,B,D,A,D,-1.922026310345026,0
None,B,E,C,A,A,D,D,15.988963392269353,0
Muslim,A,E,B,E,D,A,A,110.25095627917088,1
Jewish,C,D,C,A,E,A,C,88.11874348671806,1
Other,D,C,A,B,A,E,E,4.669916001119618,1
Buddhist,C,D,B,A,E,E,E,-139.46937580197798,0
Buddhist,A,E,B,D,C,D,C,86.02061515577351,0
None,A,C,D,B,C,C,B,90.5718004767722,1
