RACE,AgeGroup,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
African American,51-65,M,C,111.09329511583954,B,19.290418081975098,A,124.84201835954491,-16.421936578758935,B,-68.09119355336082,E,B,53.1104999201146,211.91750852528492,A,-133.42516655366805,E,1
Black,18-25,F,D,-10.193303059636664,A,167.59928322954707,C,18.586729344228527,-23.13983562769914,A,171.4126772487877,E,B,78.04031161627269,-120.10039821273057,B,-16.80776918766933,D,1
Other,51-65,F,E,-12.456184687738482,B,169.89046875186236,D,-18.782615948945786,125.19746112510781,A,-96.76539644312689,C,A,-51.09916300934662,-93.6125874256862,E,8.029877193274167,E,0
Hispanic,18-25,Male,E,115.27303589626203,A,-18.31881904429977,E,-107.77156956509326,-20.20363840654172,E,174.4307651858879,C,C,39.907693135327065,-37.343801646116844,D,-55.27466086312698,B,1
Other,65+,Other,B,-227.24442960232358,A,112.94978875782195,B,-36.20269365367471,-130.0132617925886,D,-64.2721146494656,C,C,175.1085622285251,91.45329833177766,B,38.260706993364074,C,0
Black,18-25,Other,C,-46.98013072012678,D,57.53378677567762,C,-52.22159789561923,-45.19182617175588,D,207.4537340408861,D,B,110.33624101028458,-26.720340460410707,D,17.519426828809234,C,1
Hispanic,26-35,M,B,-89.80421558028885,D,136.55875083442695,D,-25.257642498163413,-55.89560262390209,E,6.136811779580096,B,C,-159.00168643336917,37.312746346812936,A,-139.99546549732432,D,0
Other,65+,Non-binary,C,-47.84223706530894,A,129.05482479282878,C,56.366589526295904,-17.744713577197114,C,-159.52390096826338,A,E,-45.95224846368228,49.997055538350395,C,-300.44421462621654,A,0
Asian,26-35,Other,B,117.30517814567116,C,-3.885169086190433,C,32.87465336830016,-99.20642378571675,A,-4.351862404054858,C,B,17.141321978451867,-94.97358830436762,E,-6.500597985102521,B,0
Hispanic,51-65,Other,C,-54.817948331624144,C,-130.76807624040578,E,212.1084142273128,90.65241314532254,C,-141.21947641106863,B,C,51.70110560569364,-42.63816655175603,C,56.1261655211757,E,0
African American,18-25,F,E,34.24650634591338,B,54.6703866104563,B,93.32907876801954,-22.563567858818686,D,122.96481134139393,B,A,86.92648073791503,171.7162272064322,E,216.43936560575548,D,1
Hispanic,18-25,F,B,123.19832803273516,E,2.4164714348659575,A,35.59434760105971,11.40454927062311,B,-0.7869102420774673,A,E,-15.503173708216366,59.74006477648849,A,34.81455474999857,E,1
Asian,51-65,Other,D,-41.15502459806871,B,-285.2890957825016,B,-95.72497558679022,-60.95199321085878,D,79.0706839463938,C,C,149.12785116172526,79.8307068218459,C,4.289309782192324,D,1
Asian,51-65,F,E,63.062295174434226,B,41.967653710876746,E,-85.04700846044658,-8.515232212200115,A,-244.28143037943886,B,C,165.37587386092991,-99.84016453181138,B,-31.849891584501595,A,1
African American,51-65,M,E,-158.3953432523535,C,-229.748024402685,C,28.150909462605462,181.5454432699499,A,-213.2628972808517,B,E,137.6969153183516,-177.57403246483742,E,-137.2244683106096,E,0
Other,65+,Other,D,70.12500078524644,A,-101.21419051472434,C,-56.425000681255824,-90.07967813203628,D,-156.11959590157647,C,C,1.8049073270500724,-36.53496482488682,E,144.79803402620522,C,0
African American,26-35,M,C,-143.31777880938265,A,34.667757034357635,A,124.05386257104551,50.653195223636835,E,-86.40686059054752,C,E,-1.7742672761229543,-61.10263753002787,A,-149.55680880588696,E,0
African American,26-35,Non-binary,D,-64.81268037054602,D,31.891227870273752,D,51.04362275805543,-88.52193188444572,E,-10.743212827315135,A,B,31.030540752326964,-201.5262515487082,D,195.160186044017,D,1
White,65+,Female,C,-21.50395138687443,A,-41.04220900343333,B,-56.41082548962505,50.59690997958002,D,-52.4962220152989,D,C,56.194573128991834,-137.37660603511378,B,-93.89571213948842,D,1
African American,65+,M,A,229.46334728589216,C,60.03749325013858,A,150.9233906442982,-57.67482767338472,D,-13.55937672712714,D,D,81.5755753632865,-7.585723813079135,C,28.643307387431726,C,0
Asian,18-25,M,C,198.19788922741435,A,22.21204009755717,E,-6.038048814336056,-145.5259847198815,B,188.0815862403662,C,E,245.63993379653004,-5.307721665198623,A,-97.6716376355072,E,0
