nation,civil_status,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
US,Widowed,49,E,150.18853260677227,E,16.80882403430078,C,-88.09535644079818,E,75.61391381091713,B,B,19.552041681273003,0
India,Widowed,73,C,-16.42181078980042,A,66.34180346799361,B,117.4971765118332,A,44.980620746760096,D,D,29.0456643059743,1
UK,Widowed,57,E,-165.75051306327651,B,-145.22321791153567,E,0.35267060287396707,D,-116.27388076159713,E,A,-124.05440381869555,1
China,Widowed,92,C,-129.43493947702322,A,28.959431452610307,E,-14.067748216221378,C,39.37044297859321,C,D,-207.51256589547356,1
US,Single,33,E,-50.75416678809804,C,18.025189564045554,E,51.22973557789356,E,69.08231827044949,D,D,226.6489859096241,1
Germany,Single,64,B,-73.75666624184962,C,-89.23033168744736,E,-144.47807618272049,C,188.52766583353352,B,E,-47.607051799177654,0
China,Married,42,C,59.06492190817977,D,188.6805248796338,B,-51.387158095932215,E,-45.11846866430457,E,B,-68.38809948108452,0
India,Married,96,C,-96.4619477188158,B,-16.998360856321185,B,-41.38397028849791,A,166.96780107218655,E,A,183.46508321890587,0
China,Divorced,83,E,40.71237075423254,B,65.01997199611496,B,28.47766227701421,A,-23.366365419957287,C,D,-5.188187686481082,0
Germany,Married,30,B,-129.8038108933821,E,-36.58014992649177,A,-81.8296678025941,A,-2.1957722481492206,E,D,-76.61137885355598,1
China,Widowed,88,D,84.75688361061432,C,56.938161968586876,D,-15.76105173000414,B,-46.54771923490337,D,A,36.02427490224315,0
Mexico,Divorced,37,C,-63.4456890697158,C,0.21777717383807438,D,-96.58291923188331,B,49.90376444974782,A,E,-21.81531890232815,0
Germany,Divorced,41,C,-24.782331912473733,D,67.66567149086613,A,94.37735234099016,E,94.53185229823993,E,E,-9.096926752848836,0
Other,Single,74,D,-6.991059462446926,E,-124.27473909530656,D,-58.49355173352002,E,-23.2758923626017,A,D,-62.210107700041526,0
Mexico,Widowed,49,B,-133.73820539018172,E,-20.792990163886408,D,-101.7172690136937,B,-11.855784756580649,B,D,105.78834668293915,0
UK,Widowed,82,D,117.0081556913138,E,-73.98729284964158,E,-31.049537260107883,B,47.03379648174633,E,C,9.79699324212571,1
Mexico,Married,37,A,-6.401433101274084,D,-7.244300814135722,E,-31.55870425448487,A,-8.046926792609385,D,C,68.99904272611951,0
Other,Married,30,D,-113.77186272546513,A,-173.58132508472167,C,35.080582327364326,E,41.61737345835169,B,C,79.24159493223915,1
UK,Single,44,E,181.41969026073014,D,-84.42652270389108,B,77.06739972360181,D,123.10465183647752,C,E,-123.85033186216754,1
Mexico,Married,68,B,135.35002929392402,E,-154.24190074537094,A,-92.4808213915492,A,18.693134288587427,C,C,-37.050894256751185,1
Germany,Divorced,86,B,66.21875315633064,D,61.954606824795775,E,168.1739211070552,D,83.76559795400789,C,D,47.98710395842783,1
UK,Married,66,A,43.27091576868564,D,-98.65186226901268,A,36.51981161000243,C,-40.8489911574596,D,A,70.96776286059664,0
China,Married,35,C,3.6709999481083915,E,-91.59108247115991,B,57.971891696530186,D,-156.14488880114456,B,C,15.639275026281824,0
India,Single,59,C,-165.12162791861164,E,-105.91827476528609,E,-31.7331372608319,D,-113.46020635055308,B,E,-61.72731156956094,0
Brazil,Widowed,33,B,-85.37429006386415,B,-24.08698448115082,A,81.91025378495436,B,-54.24779968810881,D,B,-110.01481167669816,0
Germany,Single,86,C,11.465549392136255,A,107.99497766591519,B,201.43308286615817,E,47.013629025846804,E,E,74.55817695589975,1
Germany,Married,40,E,83.18447625412412,C,-46.48005030039727,B,55.6545667668768,E,16.31560848327707,B,C,-42.838833036191986,0
Germany,Divorced,23,B,55.4049530223375,A,180.37882892111244,B,139.7540967250727,B,63.32193317192324,E,D,224.08435547531104,0
US,Widowed,72,B,-141.10420218052008,A,-73.01257165352646,B,-5.702872841456564,E,-154.72624724889863,D,B,170.60662554939594,0
Germany,Single,35,D,-93.63925550945724,D,90.22353335392165,E,-44.61200781016667,B,144.97368460261734,B,B,-16.799094503676546,1
Mexico,Married,40,D,15.28502320455527,B,60.03474975265356,E,54.617138946145346,A,94.87403794386469,D,B,213.5784937075541,1
Mexico,Single,53,B,-54.5318849467844,B,-48.035836014638846,D,14.654924395422212,A,-21.938735477166503,B,C,-188.10928210117353,0
Brazil,Married,97,D,122.88473439094017,D,247.11248170184442,D,173.14892681741486,B,101.66669678081473,E,A,-157.80012554384936,1
India,Married,96,D,14.438802040808355,C,91.21702561460214,C,108.45904447173986,D,93.69460345577674,A,E,13.192922426846081,1
Brazil,Married,52,A,2.4599066063556245,C,-143.01846106539168,A,-22.16493128721647,B,-91.81346697886023,E,E,-105.67266117634789,1
UK,Divorced,62,C,-90.90353727979122,A,93.24310402125872,C,109.66578599893855,D,32.203296930107555,C,D,0.9130219236396437,0
UK,Single,87,E,-32.54726882595998,E,-237.411335324416,E,-151.88844676008492,C,26.142560139029662,B,B,-276.3214250318958,1
Other,Single,74,D,-100.4268438101692,E,-82.09344616328049,E,-7.639119539297538,D,-221.39745645209362,E,D,20.73648442772764,1
Germany,Married,73,E,-90.94884441122723,C,-22.224319454962842,E,-171.09312651508225,A,-89.26303649229064,B,B,-107.65183444885236,1
UK,Married,59,E,11.59708095541976,E,6.38570778799441,A,-136.83761855985793,E,45.46389642616243,A,C,203.2642958836795,0
Brazil,Married,47,D,-10.59002928790995,C,79.29340849143898,E,-153.8157886364196,E,178.7256992014655,D,D,275.66243848775383,1
Germany,Married,93,C,-39.007094277076376,C,-164.19897535905642,D,24.928250239563116,A,-48.060425373332755,D,C,53.39265101908012,1
Brazil,Single,40,B,-95.55027666629945,E,104.26584890419015,A,-111.29387488537476,E,1.2077073006512171,E,A,-21.08777170448924,0
India,Single,38,D,128.64865174382658,B,-21.281984398427763,A,-8.605637746210636,D,-134.52538468240064,E,B,39.82303175067618,1
US,Single,93,C,-78.31058143861233,B,34.61778553079706,A,136.07701616810854,E,-13.317470383099181,D,D,106.243949128268,0
Other,Widowed,51,D,49.88691327290474,C,54.35883381148354,E,-120.7429093818319,E,-32.32968743262406,C,D,30.435302536327992,0
Brazil,Single,18,A,-7.264333826191089,C,-10.912376205179138,D,-149.2203889306044,E,-25.2098381528142,E,D,-3.249405466078972,0
Mexico,Single,44,B,-13.890047034151904,C,-126.38453592122735,A,12.854012190260905,E,-67.84323306115684,B,A,58.94006279823475,1
UK,Single,95,A,-7.8687196857159,B,61.93952041715356,A,-77.16030670917449,D,-119.7412562680429,C,E,-112.68116507326596,1
US,Married,46,D,215.83593423300357,A,151.30448868274533,C,-148.40032190070136,A,92.42657169407572,C,C,-103.48026013423875,0
UK,Divorced,81,E,89.44753408408495,C,-73.95060276340942,A,81.94431408713257,C,15.701140211383017,A,A,167.681582157323,0
Mexico,Married,48,C,121.28640741282086,A,-110.54405754816345,B,-68.73677621898482,C,-134.03144806108764,E,E,60.21229266041136,0
Brazil,Single,24,A,94.9276486956935,B,-80.36304697248741,A,-84.35874511021106,E,-124.57859936485147,E,B,68.26710661453613,1
Mexico,Married,35,A,187.98698791848858,A,161.25071958100327,D,-66.32128859443691,A,164.14285509672763,A,A,369.3357866574775,1
Brazil,Married,74,A,4.36503776413265,E,-8.894327091341415,E,-4.902391434669652,B,40.867722361957185,D,B,-43.922151921503364,0
UK,Divorced,20,A,-93.0448695925498,B,89.81534657037723,E,-12.970105643510472,C,-103.83553408066733,A,C,-193.2951831916309,0
Germany,Married,59,E,61.71585780805432,A,103.39179514184407,D,-117.5275985049002,C,-125.39057472263444,A,E,141.74209919808388,1
China,Widowed,20,B,-72.36294061079946,C,-148.46192925962447,B,215.90270813996148,D,25.060023123783324,E,D,-42.61482544940725,1
Brazil,Widowed,36,E,-64.93796586616037,D,-76.19684540266196,A,24.462170869434637,A,77.27179873380237,E,B,5.522094892290688,1
US,Single,22,B,333.5910937008402,A,-37.25025039187736,B,28.180902700813178,B,-87.38157772987155,A,B,50.10585561676866,1
Brazil,Divorced,70,A,-69.27152556250444,A,-72.3345129974675,D,-67.59888026500815,A,72.71260545683967,A,E,-3.269469074467591,1
Other,Single,76,B,-237.3848613413639,B,-36.6856664368502,B,-84.51489494012785,B,-45.387442162292416,A,E,-77.94930781031236,1
Mexico,Widowed,38,C,-138.12984753614245,C,8.983985854677034,A,139.63171060934002,A,-35.83057003612895,B,B,-42.893746992494016,0
UK,Married,19,A,100.53578391128856,E,104.0550674428147,C,53.51755483280741,C,-52.633286367134204,D,E,63.36338381321125,1
Brazil,Married,31,B,58.813717188724176,E,126.39666010391335,A,122.04610583364467,C,6.913949637785874,B,E,-70.45647657031844,0
India,Divorced,40,E,9.43578971764448,D,-190.38161921793227,E,-18.427320856972276,A,19.79589932683457,A,D,-42.219966770435555,1
UK,Single,32,A,59.06735509705179,C,-246.37631535214894,E,-149.7774625571113,E,-71.76273633832596,C,E,-43.758699974034556,0
India,Widowed,38,D,51.25676487145058,B,5.282564271569817,E,-14.628486576797291,B,131.44242508410565,B,C,40.92280709667078,1
Brazil,Single,76,B,178.04087287543896,D,21.008120440478372,E,128.51156867906403,A,-48.2380239559545,E,A,79.9236389826815,1
China,Divorced,74,E,51.54594003837589,D,-119.69985290657736,D,40.81837525188931,B,166.80782493329872,E,C,-44.2799408453919,0
UK,Divorced,98,E,-71.16349754471103,D,129.32434160506074,B,-21.322478429972126,C,-63.029431599981,D,E,-165.22954843470666,1
Mexico,Married,38,C,64.8695345632743,A,-15.428570807624652,C,121.91138102510672,B,116.58545937255893,E,C,-55.266510345172684,0
China,Married,96,B,-16.99177898856789,E,-62.003803840351026,D,-126.66322413531455,D,-6.374175960463608,A,C,36.54272836316124,1
Brazil,Divorced,71,D,92.20462477594714,C,86.99742444712349,C,6.103765764582519,B,43.41831601673953,C,B,-81.620666023002,0
Brazil,Married,74,B,37.69469219686151,B,-124.68208444503021,C,-149.54724875070644,B,51.61795538940179,D,C,-80.726896439182,0
UK,Single,91,C,62.44651681557718,A,36.87807471435412,D,7.490112966539256,D,-95.28938757456399,B,C,5.787732251529521,0
India,Widowed,28,B,53.99058781810251,C,133.74007647231596,D,-101.39144546875218,C,-276.7958564267532,E,B,195.66975549704824,0
US,Single,75,A,39.77004180078471,B,-105.41274424482727,A,-64.49544838056535,A,83.08552009421018,E,E,-37.04110102600955,1
US,Widowed,29,D,22.368777863889836,C,23.509495002899467,D,-4.323535815522767,C,-178.17529221487663,B,C,15.70885511212476,0
Brazil,Divorced,74,B,-3.172394435611591,B,38.488423921538164,B,-26.963498893679656,A,-22.431737331641386,C,C,-93.82363416511927,1
Brazil,Single,46,C,77.42734686394897,E,-102.02566899658952,D,202.52750394114543,C,139.11468619427603,D,B,242.90827395621176,1
US,Married,64,B,-1.4295754867168393,B,128.1247611865913,B,82.32608164983445,A,-36.031648627709174,D,E,0.0752167441376411,0
