Veteran,AgeGroup,Race,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,target
Yes,26-35,Asian,None,A,-142.29148887367907,B,E,65.42149860713047,1
Yes,65+,Black,Christian,B,19.041047416476374,E,D,30.894212654825438,0
No,65+,Other,Muslim,E,-40.920963107241036,C,D,-54.713402780266485,0
Yes,65+,Hispanic,Jewish,B,46.44111509444119,D,A,-54.755838759279285,1
Yes,26-35,Asian,Muslim,C,56.03015622354016,A,B,-136.40903527782646,1
Non-Veteran,26-35,Black,Jewish,C,208.14098048751885,B,E,120.67040208529261,1
No,18-25,Hispanic,Jewish,D,-73.22231874377985,C,D,-11.84285790950359,0
Non-Veteran,18-25,Black,Hindu,C,-38.71431835401777,D,E,28.090698216930893,0
No,26-35,Asian,Other,A,-25.58203742780918,C,C,122.78544426224742,1
Yes,18-25,Other,Other,D,95.61537138918487,A,B,-27.955643126188846,0
No,18-25,Hispanic,Buddhist,D,179.85073338925014,E,A,-163.1485213211116,0
Non-Veteran,65+,Black,Hindu,A,-23.7454788343682,A,D,5.550358934757301,0
Veteran,65+,Other,Jewish,B,-27.07685135717575,A,D,-10.616444722365406,0
No,18-25,Other,Other,D,34.821223889327754,C,A,-2.148152536365817,1
Yes,18-25,Asian,Other,E,116.67639586860791,C,A,45.47897814703245,1
Veteran,18-25,Asian,Other,C,32.242573026020885,C,E,-133.2390372901784,0
Veteran,65+,African American,Christian,D,97.4033478185924,E,A,-52.58039650689431,1
No,65+,Asian,Jewish,B,88.61876101259128,E,A,-20.80529670254816,1
Non-Veteran,18-25,Other,Buddhist,C,-80.80701939107028,A,B,51.827846145572934,1
Non-Veteran,26-35,African American,Jewish,B,-254.3739142304449,C,A,-24.28170808916415,1
No,36-50,Other,Muslim,A,-3.9575712884729657,E,C,64.71781536576603,1
Non-Veteran,18-25,Hispanic,None,C,123.5380163440923,C,C,-26.171707989064785,0
No,36-50,Hispanic,Jewish,A,8.385143617138253,B,C,-134.74867283458266,1
Yes,65+,Other,Buddhist,E,7.5157446654893985,A,E,-154.91236721011683,1
Non-Veteran,36-50,White,Other,A,10.055961982123812,D,A,24.58363117794961,0
Yes,36-50,Other,Hindu,A,224.71481559040672,C,D,-83.28001776371711,1
No,51-65,Asian,Buddhist,B,94.67581079769806,B,D,-34.739858727118325,1
No,36-50,Asian,Hindu,E,105.85580155133513,D,B,94.80635465067358,0
No,18-25,Other,Christian,C,-128.21264342328163,A,B,-56.29658899102362,0
Veteran,51-65,White,Muslim,E,-3.010929023119955,A,E,-5.6009879774448805,1
No,36-50,Black,Christian,E,-53.199967057753625,A,C,-98.89022680022886,0
No,26-35,White,None,C,-74.3015939411362,C,C,-83.5712930112028,1
Yes,51-65,Black,Other,E,-40.9208189364779,B,C,121.39019994208213,1
No,65+,Other,Jewish,B,50.3181277306999,C,E,136.06123173919113,0
Veteran,36-50,White,Muslim,A,-160.69864914359107,D,E,-116.64337489702264,1
Yes,65+,Black,Hindu,D,-56.51621599532651,E,B,54.35033230808099,1
Yes,26-35,White,Christian,A,-96.10665491513186,C,E,-60.612380908410216,1
No,18-25,Asian,Jewish,D,21.97375864571498,B,B,23.046236064238546,0
Non-Veteran,65+,Black,Hindu,A,100.91812155864002,E,A,108.42130602711259,0
Non-Veteran,51-65,Hispanic,Hindu,D,187.73685292701535,E,A,-44.61509128839325,0
Veteran,51-65,Hispanic,Muslim,E,95.12477586811076,E,C,22.97580705514397,0
No,36-50,Asian,Buddhist,D,35.97501283603924,E,D,-117.56769067514112,1
No,51-65,Hispanic,Buddhist,D,43.26235463729439,C,B,105.95871195103945,0
Non-Veteran,26-35,Other,Hindu,E,11.975846952467743,C,C,55.64486638955395,1
No,51-65,Asian,Christian,E,-62.08114912269931,B,C,66.17147655964709,1
Non-Veteran,51-65,Hispanic,Christian,E,7.469271113699451,A,E,-6.726914077978834,1
No,26-35,Hispanic,Jewish,D,70.84527347294541,B,C,23.80241132412993,0
